Org,Repo,Date,Clones count,Clones unique
usdot-fhwa-stol,autoware.auto,2023-08-01,3,2
usdot-fhwa-stol,carma-config,2023-08-01,3,2
usdot-fhwa-stol,carma-messenger,2023-08-01,30,13
usdot-fhwa-stol,carma-msgs,2023-08-01,34,16
usdot-fhwa-stol,carma-ns3-adapter,2023-08-01,2,1
usdot-fhwa-stol,carma-platform,2023-08-01,27,3
usdot-fhwa-stol,carma-utils,2023-08-01,38,17
usdot-fhwa-stol,carma-validation,2023-08-01,1,1
usdot-fhwa-stol,cdasim,2023-08-01,19,4
usdot-fhwa-stol,cooperative-perception-core,2023-08-01,1,1
usdot-fhwa-stol,devops,2023-08-01,4,2
usdot-fhwa-stol,github_metrics,2023-08-01,1,1
usdot-fhwa-stol,.github,2023-08-02,1,1
usdot-fhwa-stol,actions,2023-08-02,1,1
usdot-fhwa-stol,c1t-tools,2023-08-02,1,1
usdot-fhwa-stol,c1t2x-emulator,2023-08-02,1,1
usdot-fhwa-stol,carma-analytics-fotda,2023-08-02,1,1
usdot-fhwa-stol,carma-builds,2023-08-02,1,1
usdot-fhwa-stol,carma-carla-integration,2023-08-02,3,2
usdot-fhwa-stol,carma-cloud,2023-08-02,1,1
usdot-fhwa-stol,carma-config,2023-08-02,10,2
usdot-fhwa-stol,carma-messenger,2023-08-02,40,15
usdot-fhwa-stol,carma-msgs,2023-08-02,40,15
usdot-fhwa-stol,carma-platform,2023-08-02,43,10
usdot-fhwa-stol,carma-time-lib,2023-08-02,1,1
usdot-fhwa-stol,carma-utils,2023-08-02,43,17
usdot-fhwa-stol,cavams,2023-08-02,1,1
usdot-fhwa-stol,cdasim,2023-08-02,21,4
usdot-fhwa-stol,cooperative-perception-core,2023-08-02,1,1
usdot-fhwa-stol,devops,2023-08-02,3,1
usdot-fhwa-stol,documentation,2023-08-02,12,3
usdot-fhwa-stol,dwm1001_ros2,2023-08-02,1,1
usdot-fhwa-stol,github_metrics,2023-08-02,1,1
usdot-fhwa-stol,snmp-client,2023-08-02,1,1
usdot-fhwa-stol,autoware.auto,2023-08-03,1,1
usdot-fhwa-stol,carma-config,2023-08-03,1,1
usdot-fhwa-stol,carma-messenger,2023-08-03,8,5
usdot-fhwa-stol,carma-msgs,2023-08-03,10,7
usdot-fhwa-stol,carma-platform,2023-08-03,6,4
usdot-fhwa-stol,carma-utils,2023-08-03,9,6
usdot-fhwa-stol,cdasim,2023-08-03,19,2
usdot-fhwa-stol,devops,2023-08-03,4,1
usdot-fhwa-stol,documentation,2023-08-03,4,3
usdot-fhwa-stol,voices-common-interface,2023-08-03,1,1
usdot-fhwa-stol,carma-cloud,2023-08-04,1,1
usdot-fhwa-stol,carma-config,2023-08-04,2,1
usdot-fhwa-stol,carma-messenger,2023-08-04,1,1
usdot-fhwa-stol,carma-msgs,2023-08-04,2,1
usdot-fhwa-stol,carma-platform,2023-08-04,7,2
usdot-fhwa-stol,carma-ssc-interface-wrapper,2023-08-04,1,1
usdot-fhwa-stol,carma-utils,2023-08-04,2,1
usdot-fhwa-stol,carma-vehicle-model-framework,2023-08-04,1,1
usdot-fhwa-stol,carma-web-ui,2023-08-04,2,2
usdot-fhwa-stol,cav-education,2023-08-04,1,1
usdot-fhwa-stol,cdasim,2023-08-04,1,1
usdot-fhwa-stol,cooperative-perception-core,2023-08-04,2,2
usdot-fhwa-stol,devops,2023-08-04,2,1
usdot-fhwa-stol,tim-bc,2023-08-04,1,1
usdot-fhwa-stol,WxDE,2023-08-05,1,1
usdot-fhwa-stol,autoware.auto,2023-08-05,1,1
usdot-fhwa-stol,c1t_zed_driver,2023-08-05,2,2
usdot-fhwa-stol,carma-builds,2023-08-05,2,2
usdot-fhwa-stol,carma-cadillac-srx-2013-controller-driver,2023-08-05,1,1
usdot-fhwa-stol,carma-carla-integration,2023-08-05,1,1
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-08-05,3,2
usdot-fhwa-stol,carma-config,2023-08-05,1,1
usdot-fhwa-stol,carma-delphi-srr2-driver,2023-08-05,1,1
usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2023-08-05,4,4
usdot-fhwa-stol,carma-j2735,2023-08-05,1,1
usdot-fhwa-stol,carma-lightbar-driver,2023-08-05,1,1
usdot-fhwa-stol,carma-messenger,2023-08-05,1,1
usdot-fhwa-stol,carma-mobileye-driver,2023-08-05,2,2
usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,2023-08-05,1,1
usdot-fhwa-stol,carma-platform,2023-08-05,2,1
usdot-fhwa-stol,carma-streets,2023-08-05,1,1
usdot-fhwa-stol,carma-torc-pinpoint-driver,2023-08-05,2,2
usdot-fhwa-stol,carma-utils,2023-08-05,2,2
usdot-fhwa-stol,cav-education,2023-08-05,1,1
usdot-fhwa-stol,cdasim,2023-08-05,1,1
usdot-fhwa-stol,cooperative-perception-core,2023-08-05,1,1
usdot-fhwa-stol,devops,2023-08-05,2,2
usdot-fhwa-stol,github_metrics,2023-08-05,2,2
usdot-fhwa-stol,voices-cda-use-case-scenario-database,2023-08-05,1,1
usdot-fhwa-stol,voices-poc,2023-08-05,1,1
usdot-fhwa-stol,actions,2023-08-06,1,1
usdot-fhwa-stol,autoware.auto,2023-08-06,1,1
usdot-fhwa-stol,c1t2x-emulator,2023-08-06,2,2
usdot-fhwa-stol,c1t_vesc_driver,2023-08-06,2,2
usdot-fhwa-stol,c1t_zed_driver,2023-08-06,1,1
usdot-fhwa-stol,carma-1-tenth,2023-08-06,1,1
usdot-fhwa-stol,carma-analytics-fotda,2023-08-06,1,1
usdot-fhwa-stol,carma-base,2023-08-06,2,2
usdot-fhwa-stol,carma-builds,2023-08-06,1,1
usdot-fhwa-stol,carma-cadillac-srx-2013-controller-driver,2023-08-06,2,2
usdot-fhwa-stol,carma-carla-integration,2023-08-06,1,1
usdot-fhwa-stol,carma-cloud,2023-08-06,2,2
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-08-06,1,1
usdot-fhwa-stol,carma-config,2023-08-06,1,1
usdot-fhwa-stol,carma-delphi-esr-driver,2023-08-06,2,2
usdot-fhwa-stol,carma-delphi-srr2-driver,2023-08-06,1,1
usdot-fhwa-stol,carma-freightliner-2012-controller-driver,2023-08-06,1,1
usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2023-08-06,5,5
usdot-fhwa-stol,carma-lightbar-driver,2023-08-06,2,2
usdot-fhwa-stol,carma-messenger,2023-08-06,3,3
usdot-fhwa-stol,carma-mobileye-driver,2023-08-06,1,1
usdot-fhwa-stol,carma-msgs,2023-08-06,3,3
usdot-fhwa-stol,carma-ns3-adapter,2023-08-06,1,1
usdot-fhwa-stol,carma-platform,2023-08-06,3,3
usdot-fhwa-stol,carma-ssc-interface-wrapper,2023-08-06,3,3
usdot-fhwa-stol,carma-time-lib,2023-08-06,1,1
usdot-fhwa-stol,carma-torc-pinpoint-driver,2023-08-06,2,2
usdot-fhwa-stol,carma-torc-xgv-controller-driver,2023-08-06,2,2
usdot-fhwa-stol,carma-utils,2023-08-06,5,5
usdot-fhwa-stol,carma-vehicle-model-framework,2023-08-06,2,2
usdot-fhwa-stol,carma-web-ui,2023-08-06,2,1
usdot-fhwa-stol,cdasim,2023-08-06,2,2
usdot-fhwa-stol,cooperative-perception-core,2023-08-06,1,1
usdot-fhwa-stol,devops,2023-08-06,1,1
usdot-fhwa-stol,github_metrics,2023-08-06,1,1
usdot-fhwa-stol,snmp-client,2023-08-06,1,1
usdot-fhwa-stol,tim-bc,2023-08-06,1,1
usdot-fhwa-stol,actions,2023-08-07,3,1
usdot-fhwa-stol,c1t_zed_driver,2023-08-07,3,3
usdot-fhwa-stol,carma-base,2023-08-07,12,9
usdot-fhwa-stol,carma-cadillac-srx-2013-controller-driver,2023-08-07,1,1
usdot-fhwa-stol,carma-carla-integration,2023-08-07,2,1
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-08-07,2,2
