Start date,End date,Org,Repo,Referrer,Count,Unique
2023-07-17,2023-07-31,usdot-jpo-ode,asn1_codec,Google,43,1
2023-07-17,2023-07-31,usdot-jpo-ode,asn1_codec,github.com,42,8
2023-07-17,2023-07-31,usdot-jpo-ode,asn1_codec,statics.gov.teams.microsoft.us,6,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-conflictmonitor,github.com,34,3
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-conflictmonitor,DuckDuckGo,11,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-conflictvisualizer,DuckDuckGo,4,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-conflictvisualizer,github.com,2,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-cvdp,github.com,55,3
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-cvdp,statics.gov.teams.microsoft.us,5,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-cvmanager,github.com,8,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-geojsonconverter,Google,29,3
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-geojsonconverter,github.com,4,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-ode,github.com,68,10
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-ode,Google,25,9
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-ode,DuckDuckGo,3,2
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-ode,statics.teams.cdn.office.net,1,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-ode,Bing,1,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-ode,usdot-carma.atlassian.net,1,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-ode-scms-asn,usdot-carma.atlassian.net,1,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-sdw-depositor,github.com,35,3
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-security,Google,14,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-security-svcs,github.com,17,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-tim-builder,Google,43,1
2023-07-17,2023-07-31,usdot-jpo-ode,jpo-tim-builder,github.com,1,1
2023-07-17,2023-07-31,usdot-jpo-ode,scms-asn1,Google,30,3
2023-07-17,2023-07-31,usdot-jpo-ode,scms-asn1,github.com,6,1
2023-07-17,2023-07-31,usdot-jpo-ode,TDx,github.com,13,2
2023-07-17,2023-07-31,usdot-jpo-ode,TDx,statics.teams.cdn.office.net,1,1
2023-07-17,2023-07-31,usdot-jpo-ode,TDx,transportation.gov,1,1
2023-07-17,2023-07-31,usdot-jpo-ode,usdot-jpo-ode.github.io,github.com,1,1
2023-07-17,2023-07-31,usdot-jpo-ode,wzdx,transportation.gov,275,32
2023-07-17,2023-07-31,usdot-jpo-ode,wzdx,Google,214,28
2023-07-17,2023-07-31,usdot-jpo-ode,wzdx,datahub.transportation.gov,65,8
2023-07-17,2023-07-31,usdot-jpo-ode,wzdx,az511.com,43,1
2023-07-17,2023-07-31,usdot-jpo-ode,wzdx,Bing,31,2
2023-07-17,2023-07-31,usdot-jpo-ode,wzdx,confluence.kapsch.net,30,1
2023-07-17,2023-07-31,usdot-jpo-ode,wzdx,fhwa.dot.gov,20,10
2023-07-17,2023-07-31,usdot-jpo-ode,wzdx,statics.teams.cdn.office.net,9,4
2023-07-17,2023-07-31,usdot-jpo-ode,wzdx,github.com,8,5
2023-07-17,2023-07-31,usdot-jpo-ode,wzdx,DuckDuckGo,7,1
