Org,Repo,Date,Views count,Views unique
usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2023-12-08,1,1
usdot-fhwa-stol,carma-msgs,2023-12-08,10,2
usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,2023-12-08,15,1
usdot-fhwa-stol,carma-platform,2023-12-08,87,12
usdot-fhwa-stol,carma-rtk,2023-12-08,1,1
usdot-fhwa-stol,carma-streets,2023-12-08,73,6
usdot-fhwa-stol,carma-time-lib,2023-12-08,1,1
usdot-fhwa-stol,carma-torc-pinpoint-driver,2023-12-08,54,1
usdot-fhwa-stol,carma-utils,2023-12-08,139,5
usdot-fhwa-stol,cav-education,2023-12-08,15,2
usdot-fhwa-stol,cda-telematics,2023-12-08,11,3
usdot-fhwa-stol,cdasim,2023-12-08,64,5
usdot-fhwa-stol,multiple_object_tracking,2023-12-08,137,3
usdot-fhwa-stol,voices-poc,2023-12-08,3,3
usdot-fhwa-stol,carma-platform,2023-12-09,3,2
usdot-fhwa-stol,carma-utils,2023-12-09,7,2
usdot-fhwa-stol,cda-telematics,2023-12-09,8,1
usdot-fhwa-stol,cdasim,2023-12-09,8,3
usdot-fhwa-stol,multiple_object_tracking,2023-12-09,2,1
usdot-fhwa-stol,ns3-federate,2023-12-09,1,1
usdot-fhwa-stol,ads-traffic-regs,2023-12-10,29,1
usdot-fhwa-stol,carma-cloud,2023-12-10,1,1
usdot-fhwa-stol,carma-platform,2023-12-10,9,3
usdot-fhwa-stol,carma-streets,2023-12-10,53,2
usdot-fhwa-stol,carma-utils,2023-12-10,3,1
usdot-fhwa-stol,ads-traffic-regs,2023-12-11,51,1
usdot-fhwa-stol,carma-base,2023-12-11,3,1
usdot-fhwa-stol,carma-carla-integration,2023-12-11,13,3
usdot-fhwa-stol,carma-cloud,2023-12-11,6,4
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-12-11,70,3
usdot-fhwa-stol,carma-config,2023-12-11,11,1
usdot-fhwa-stol,carma-delphi-esr-driver,2023-12-11,1,1
usdot-fhwa-stol,carma-messenger,2023-12-11,2,2
usdot-fhwa-stol,carma-msgs,2023-12-11,14,2
usdot-fhwa-stol,carma-platform,2023-12-11,138,23
usdot-fhwa-stol,carma-streets,2023-12-11,130,10
usdot-fhwa-stol,carma-utils,2023-12-11,127,8
usdot-fhwa-stol,carma-vehicle-model-framework,2023-12-11,1,1
usdot-fhwa-stol,cda-telematics,2023-12-11,3,3
usdot-fhwa-stol,cdasim,2023-12-11,76,8
usdot-fhwa-stol,multiple_object_tracking,2023-12-11,8,2
usdot-fhwa-stol,ns-3_c-v2x,2023-12-11,8,2
usdot-fhwa-stol,ns3-federate,2023-12-11,19,1
usdot-fhwa-stol,voices-poc,2023-12-11,34,3
usdot-fhwa-stol,carma-carla-integration,2023-12-12,11,3
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-12-12,5,1
usdot-fhwa-stol,carma-config,2023-12-12,27,2
usdot-fhwa-stol,carma-delphi-esr-driver,2023-12-12,30,2
usdot-fhwa-stol,carma-msgs,2023-12-12,2,1
usdot-fhwa-stol,carma-platform,2023-12-12,52,13
usdot-fhwa-stol,carma-streets,2023-12-12,100,10
usdot-fhwa-stol,carma-utils,2023-12-12,92,7
usdot-fhwa-stol,cav-education,2023-12-12,2,1
usdot-fhwa-stol,cda-telematics,2023-12-12,47,2
usdot-fhwa-stol,cdasim,2023-12-12,7,4
usdot-fhwa-stol,multiple_object_tracking,2023-12-12,70,3
usdot-fhwa-stol,ns-3_c-v2x,2023-12-12,11,1
usdot-fhwa-stol,ns3-federate,2023-12-12,11,1
usdot-fhwa-stol,voices-poc,2023-12-12,10,1
usdot-fhwa-stol,autoware.auto,2023-12-13,17,1
usdot-fhwa-stol,carma-analytics-fotda,2023-12-13,6,2
usdot-fhwa-stol,carma-carla-integration,2023-12-13,40,3
usdot-fhwa-stol,carma-cloud,2023-12-13,18,1
