Start date,End date,Org,Repo,Path,Title,Count,Unique
2023-03-31,2023-04-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto,usdot-fhwa-stol/autoware.auto,7,3
2023-03-31,2023-04-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/tree/develop/AutowareAuto/src/drivers,autoware.auto/AutowareAuto/src/drivers at develop · usdot-fhwa-stol/autoware....,7,1
2023-03-31,2023-04-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/tree/develop/AutowareAuto/src/drivers/velodyne_driver,autoware.auto/AutowareAuto/src/drivers/velodyne_driver at develop · usdot-fhw...,7,1
2023-03-31,2023-04-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/tree/develop/AutowareAuto,autoware.auto/AutowareAuto at develop · usdot-fhwa-stol/autoware.auto,6,1
2023-03-31,2023-04-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/blob/develop/README.md,autoware.auto/README.md at develop · usdot-fhwa-stol/autoware.auto · GitHub,4,2
2023-03-31,2023-04-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/tree/develop/AutowareAuto/src/perception/tracking_nodes,autoware.auto/AutowareAuto/src/perception/tracking_nodes at develop · usdot-f...,4,2
2023-03-31,2023-04-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/tree/develop/AutowareAuto/src,autoware.auto/AutowareAuto/src at develop · usdot-fhwa-stol/autoware.auto,4,1
2023-03-31,2023-04-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/tree/develop/AutowareAuto/src/drivers/velodyne_driver/src,autoware.auto/AutowareAuto/src/drivers/velodyne_driver/src at develop · usdot...,4,1
2023-03-31,2023-04-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/blob/develop/AutowareAuto/src/drivers/velodyne_driver/src/vlS128_data.cpp,autoware.auto/vlS128_data.cpp at develop · usdot-fhwa-stol/autoware.auto,3,1
2023-03-31,2023-04-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/tree/develop/AutowareAuto/src/drivers/velodyne_nodes,autoware.auto/AutowareAuto/src/drivers/velodyne_nodes at develop · usdot-fhwa...,3,1
2023-03-31,2023-04-14,usdot-fhwa-stol,c1t_rplidar_driver,/usdot-fhwa-stol/c1t_rplidar_driver,usdot-fhwa-stol/c1t_rplidar_driver,1,1
2023-03-31,2023-04-14,usdot-fhwa-stol,c1t_vesc_driver,/usdot-fhwa-stol/c1t_vesc_driver,usdot-fhwa-stol/c1t_vesc_driver,3,3
2023-03-31,2023-04-14,usdot-fhwa-stol,carma-1-tenth,/usdot-fhwa-stol/carma-1-tenth,usdot-fhwa-stol/carma-1-tenth: Coming Soon. CARMA 1Tenth will operate CARMA P...,10,4
2023-03-31,2023-04-14,usdot-fhwa-stol,carma-1-tenth,/usdot-fhwa-stol/carma-1-tenth/blob/develop/Parts%20of%20CARMA1tenth-Order.xlsx,carma-1-tenth/Parts of CARMA1tenth-Order.xlsx at develop · usdot-fhwa-stol/ca...,1,1
2023-03-31,2023-04-14,usdot-fhwa-stol,carma-analytics-fotda,/usdot-fhwa-stol/carma-analytics-fotda/tree/TSMO_UC3_Analysis/tsmo/src,carma-analytics-fotda/tsmo/src at TSMO_UC3_Analysis · usdot-fhwa-stol/carma-a...,16,3
2023-03-31,2023-04-14,usdot-fhwa-stol,carma-analytics-fotda,/usdot-fhwa-stol/carma-analytics-fotda/pull/13/files,Adding ros bag parsing scripts by paulbourelly999 · Pull Request #13 · usdot-...,13,3
