Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
carma-rtk,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdasim,27,17,13,19,9,10,12,12,100%,9,75%,71%,26,169,111,58,4,12,24,10,14,0,0,0,0,1,5,5,0,0,5,1,3,3,0,0
carma-ssc-interface-wrapper,0,17,7,5,1,4,1,1,100%,1,100%,25%,12,138,47,91,1,3,16,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-streets,7,8,9,162,161,1,39,39,100%,30,77%,2%,75,223,207,14,19,5,11,9,2,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0
carma-torc-pinpoint-driver,0,10,1,1,1,0,0,0,N/A,0,N/A,0%,0,39,19,20,1,1,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-torc-xgv-controller-driver,1,11,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,18,4,14,0,1,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-utils,2,11,6,25,24,1,9,9,100%,0,0%,63%,7,174,90,83,3,4,21,12,9,0,0,0,0,4,9,9,0,0,7,2,2,2,0,0
carma-validation,0,9,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-vehicle-model-framework,5,11,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,62,33,29,0,3,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-velodyne-lidar-driver,0,10,3,2,0,2,0,0,N/A,0,N/A,50%,0,104,45,59,0,3,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-web-ui,4,11,5,6,4,2,0,0,N/A,0,N/A,33%,65,154,110,44,0,4,17,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cav-education,3,10,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,21,17,4,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
github_metrics,0,8,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,13,1,12,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mosaic,0,2,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novatel_gps_driver,1,6,4,0,0,0,0,0,N/A,0,N/A,N/A,N/A,107,37,70,0,3,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opendrive2lanelet,21,4,9,0,0,0,0,0,N/A,0,N/A,N/A,N/A,21,13,8,1,5,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ros1_bridge,0,1,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,21,12,9,3,1,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rosbridge_suite,0,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sumo,0,2,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
testing-training-tools,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tim-bc,0,7,0,2,2,0,0,0,N/A,0,N/A,0%,93,23,23,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voices-cda-use-case-scenario-database,0,8,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,2,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voices-poc,0,11,0,1,1,0,0,0,N/A,0,N/A,0%,0,23,22,1,1,10,5,4,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
TOTAL,542,527,275,1361,854,507,340,329,97%,285,84%,14%,85,4271,2268,1972,305,4,77,32,45,26,26,0,0,28,51,51,0,0,25,23,6,6,0,0
