Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
CARMAConcept,2,9,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WxDE,0,5,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,22,15,7,2,9,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ads-traffic-regs,1,11,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,1,0,1,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arena_camera_ros,0,0,0,1,1,0,1,1,100%,1,100%,N/A,N/A,0,0,0,0,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autoware.ai,2,8,8,0,0,0,0,0,N/A,0,N/A,N/A,N/A,231,152,48,0,3,21,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autoware.auto,1,7,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,11,11,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
avt_vimba_camera,3,7,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,94,69,25,0,6,16,10,6,0,0,0,0,0,3,3,0,0,4,0,2,2,0,0
c1t_razor_imu_m0_driver,0,4,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_rplidar_driver,0,4,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_vesc_driver,0,4,0,2,2,0,0,0,N/A,0,N/A,0%,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_zed_driver,0,4,0,1,1,0,0,0,N/A,0,N/A,0%,3,0,0,0,0,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carla-simulation,0,1,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-1-tenth,11,11,6,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-analytics-fotda,0,14,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,2,0,1,0,2,2,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
carma-base,1,15,5,7,1,6,0,0,N/A,0,N/A,29%,10,125,90,35,2,2,22,13,9,1,1,0,0,1,4,4,0,0,5,0,2,2,0,0
carma-cadillac-srx-2013-controller-driver,0,9,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,23,17,6,0,1,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-carla-integration,0,13,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,6,6,0,0,20,3,3,0,0,0,0,0,0,4,4,0,0,4,0,3,3,0,0
carma-cloud,18,11,12,6,6,0,4,4,100%,3,75%,0%,7,28,23,5,2,6,9,7,2,0,0,0,0,0,2,2,0,0,1,1,2,2,0,0
carma-cohda-dsrc-driver,6,9,5,2,1,1,1,1,100%,1,100%,0%,0,101,72,29,0,4,18,11,7,0,0,0,0,0,3,3,0,0,4,0,2,2,0,0
carma-config,2,14,7,4,1,3,0,0,N/A,0,N/A,0%,5,210,163,37,2,3,21,14,7,0,0,0,0,0,3,3,0,0,4,0,2,2,0,0
carma-delphi-esr-driver,3,9,3,2,1,1,1,1,100%,1,100%,0%,2,58,51,7,0,3,12,8,4,0,0,0,0,0,3,3,0,0,4,0,2,2,0,0
carma-delphi-srr2-driver,0,9,1,1,0,1,0,0,N/A,0,N/A,0%,2,59,49,10,1,3,11,6,5,0,0,0,0,0,3,3,0,0,3,0,2,2,0,0
carma-freightliner-2012-controller-driver,0,9,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,18,13,5,0,1,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-garmin-lidar-lite-v3-driver-wrapper,0,9,2,1,1,0,0,0,N/A,0,N/A,0%,0,70,52,18,0,5,11,7,4,0,0,0,0,0,3,3,0,0,4,0,2,2,0,0
carma-lightbar-driver,1,10,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,61,42,19,0,4,9,6,3,0,0,0,0,0,3,3,0,0,5,0,1,1,0,0
carma-message-filters,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,2,0,0,9,1,1,0,0,0,0,0,0,2,2,0,0,2,0,1,1,0,0
carma-messenger,12,11,8,3,2,1,0,0,N/A,0,N/A,67%,6,154,128,23,4,4,19,12,7,0,0,0,0,0,4,4,0,0,5,0,2,2,0,0
carma-mobileye-driver,0,4,0,1,1,0,1,1,100%,1,100%,N/A,N/A,0,0,0,0,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-msgs,5,9,7,6,1,5,1,1,100%,1,100%,40%,24,188,149,39,0,4,25,16,9,0,0,0,0,0,2,2,0,0,3,0,1,1,0,0
carma-novatel-oem7-driver-wrapper,1,7,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,19,19,0,0,4,4,4,0,0,0,0,0,0,2,2,0,0,3,0,1,1,0,0
carma-platform,321,45,95,878,760,118,180,164,91%,154,86%,11%,103,1046,880,198,180,2,37,20,17,32,32,0,0,24,32,32,0,0,0,24,7,7,0,0
carma-rtk,0,5,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
