Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
TDx,3,15,1,9,9,0,9,8,89%,9,100%,N/A,N/A,7,7,0,0,113,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asn1_codec,13,12,17,7,4,3,0,0,N/A,0,N/A,0%,74,47,46,1,0,10,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-cvdp,15,14,10,3,1,2,1,1,100%,1,100%,50%,939,37,27,10,0,12,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-ode,77,27,41,110,55,55,3,3,100%,1,33%,2%,95,444,129,65,0,2,40,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-ode-scms-asn,0,7,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-record-parser,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-s3-deposit,4,10,4,10,9,1,2,2,100%,2,100%,25%,287,53,39,14,0,30,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-sdw-depositor,3,7,5,3,2,1,0,0,N/A,0,N/A,0%,452,39,21,18,0,26,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-security,4,10,3,1,0,1,1,1,100%,1,100%,N/A,N/A,10,8,2,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-security-svcs,3,10,2,3,1,2,0,0,N/A,0,N/A,0%,31,29,21,8,0,12,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-tim-builder,4,10,4,2,0,2,1,1,100%,1,100%,0%,0,1,0,1,0,26,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ode-output-validator-library,2,9,7,4,1,3,3,3,100%,3,100%,0%,1353,40,36,4,0,1,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scms-asn1,4,7,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usdot-jpo-ode.github.io,2,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wzdc-tool,1,7,0,1,1,0,0,0,N/A,0,N/A,0%,0,0,0,0,0,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wzdx,89,52,60,140,92,48,11,11,100%,10,91%,7%,234,181,160,21,1,47,44,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,224,209,157,293,175,118,31,30,97%,28,90%,5%,182,893,499,144,2,21,91,27,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
