Org,Repo,Date,Clones count,Clones unique
usdot-jpo-ode,jpo-cvdp,2023-01-01,2,1
usdot-jpo-ode,TDx,2023-01-03,2,1
usdot-jpo-ode,asn1_codec,2023-01-03,2,1
usdot-jpo-ode,jpo-conflictmonitor,2023-01-03,4,2
usdot-jpo-ode,jpo-cvdp,2023-01-03,4,2
usdot-jpo-ode,jpo-geojsonconverter,2023-01-03,4,2
usdot-jpo-ode,jpo-ode,2023-01-03,10,7
usdot-jpo-ode,jpo-s3-deposit,2023-01-03,4,2
usdot-jpo-ode,jpo-sdw-depositor,2023-01-03,6,3
usdot-jpo-ode,jpo-security,2023-01-03,6,3
usdot-jpo-ode,jpo-security-svcs,2023-01-03,4,2
usdot-jpo-ode,jpo-tim-builder,2023-01-03,2,1
usdot-jpo-ode,ode-output-validator-library,2023-01-03,4,2
usdot-jpo-ode,usdot-jpo-ode.github.io,2023-01-03,4,2
usdot-jpo-ode,wzdx,2023-01-03,15,8
usdot-jpo-ode,TDx,2023-01-04,4,2
usdot-jpo-ode,asn1_codec,2023-01-04,5,3
usdot-jpo-ode,jpo-conflictmonitor,2023-01-04,11,3
usdot-jpo-ode,jpo-cvdp,2023-01-04,3,1
usdot-jpo-ode,jpo-geojsonconverter,2023-01-04,3,2
usdot-jpo-ode,jpo-ode,2023-01-04,12,8
usdot-jpo-ode,jpo-ode-scms-asn,2023-01-04,2,1
usdot-jpo-ode,jpo-record-parser,2023-01-04,4,2
usdot-jpo-ode,jpo-s3-deposit,2023-01-04,3,1
usdot-jpo-ode,jpo-sdw-depositor,2023-01-04,3,1
usdot-jpo-ode,jpo-security,2023-01-04,4,2
usdot-jpo-ode,jpo-security-svcs,2023-01-04,3,1
usdot-jpo-ode,ode-output-validator-library,2023-01-04,3,1
usdot-jpo-ode,scms-asn1,2023-01-04,5,2
usdot-jpo-ode,wzdx,2023-01-04,9,5
usdot-jpo-ode,jpo-s3-deposit,2023-01-05,1,1
usdot-jpo-ode,scms-asn1,2023-01-05,1,1
usdot-jpo-ode,asn1_codec,2023-01-06,3,1
usdot-jpo-ode,jpo-cvdp,2023-01-06,3,1
usdot-jpo-ode,jpo-geojsonconverter,2023-01-06,2,1
usdot-jpo-ode,jpo-ode,2023-01-06,5,2
usdot-jpo-ode,jpo-s3-deposit,2023-01-06,3,1
usdot-jpo-ode,jpo-sdw-depositor,2023-01-06,3,1
usdot-jpo-ode,jpo-security-svcs,2023-01-06,3,1
usdot-jpo-ode,ode-output-validator-library,2023-01-06,3,1
usdot-jpo-ode,scms-asn1,2023-01-06,3,1
usdot-jpo-ode,wzdc-tool,2023-01-06,2,1
usdot-jpo-ode,asn1_codec,2023-01-07,1,1
usdot-jpo-ode,jpo-ode,2023-01-07,1,1
usdot-jpo-ode,jpo-sdw-depositor,2023-01-07,1,1
usdot-jpo-ode,jpo-cvdp,2023-01-08,2,2
usdot-jpo-ode,asn1_codec,2023-01-09,1,1
usdot-jpo-ode,jpo-cvdp,2023-01-09,1,1
usdot-jpo-ode,jpo-geojsonconverter,2023-01-09,1,1
usdot-jpo-ode,jpo-ode,2023-01-09,2,2
usdot-jpo-ode,jpo-s3-deposit,2023-01-09,1,1
usdot-jpo-ode,jpo-sdw-depositor,2023-01-09,1,1
usdot-jpo-ode,jpo-security-svcs,2023-01-09,1,1
usdot-jpo-ode,ode-output-validator-library,2023-01-09,1,1
usdot-jpo-ode,scms-asn1,2023-01-09,1,1
usdot-jpo-ode,asn1_codec,2023-01-10,1,1
usdot-jpo-ode,jpo-conflictmonitor,2023-01-10,1,1
usdot-jpo-ode,jpo-cvdp,2023-01-10,1,1
usdot-jpo-ode,jpo-ode,2023-01-10,6,4
usdot-jpo-ode,jpo-s3-deposit,2023-01-10,1,1
usdot-jpo-ode,jpo-sdw-depositor,2023-01-10,1,1
usdot-jpo-ode,jpo-security-svcs,2023-01-10,1,1
usdot-jpo-ode,ode-output-validator-library,2023-01-10,1,1
