Start date,End date,Org,Repo,Referrer,Count,Unique
2022-10-02,2022-10-16,usdot-fhwa-stol,autoware.auto,Google,26,5
2022-10-02,2022-10-16,usdot-fhwa-stol,autoware.auto,github.com,20,3
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-1-tenth,Google,7,5
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-1-tenth,highways.dot.gov,1,1
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-analytics-fotda,github.com,1,1
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-analytics-fotda,linkedin.com,1,1
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-base,github.com,12,2
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-base,Google,3,3
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-cadillac-srx-2013-controller-driver,highways.dot.gov,1,1
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-carla-integration,github.com,51,4
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-carla-integration,Google,5,4
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-carla-integration,wiki.ros.org,1,1
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-carla-integration,highways.dot.gov,1,1
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-cloud,github.com,35,3
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-cloud,Google,11,5
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-cloud,highways.dot.gov,3,2
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-cohda-dsrc-driver,Google,10,2
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-cohda-dsrc-driver,its.dot.gov,4,1
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-cohda-dsrc-driver,github.com,1,1
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-config,Google,53,5
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-config,github.com,48,9
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-config,highways.dot.gov,11,1
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-delphi-esr-driver,Google,20,6
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-delphi-esr-driver,github.com,4,2
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-delphi-esr-driver,highways.dot.gov,2,1
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-delphi-srr2-driver,github.com,19,1
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,github.com,1,1
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-messenger,github.com,58,6
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-messenger,Google,2,2
2022-10-02,2022-10-16,usdot-fhwa-stol,carma-msgs,github.com,36,6
