Org,Repo,Date,Clones count,Clones unique
usdot-fhwa-OPS,V2X-Hub,2024-01-01,5,3
usdot-fhwa-OPS,V2X-Hub,2024-01-02,97,36
usdot-fhwa-OPS,V2X-Hub,2024-01-03,34,15
usdot-fhwa-OPS,V2X-Hub,2024-01-04,48,21
usdot-fhwa-OPS,.github,2024-01-05,1,1
usdot-fhwa-OPS,V2X-Hub,2024-01-05,65,22
usdot-fhwa-OPS,V2X-Hub,2024-01-06,3,2
usdot-fhwa-OPS,V2X-Hub,2024-01-07,4,2
usdot-fhwa-OPS,V2X-Hub,2024-01-08,27,12
usdot-fhwa-OPS,.github,2024-01-09,1,1
usdot-fhwa-OPS,V2X-Hub,2024-01-09,33,11
usdot-fhwa-OPS,V2X-Hub,2024-01-10,146,61
usdot-fhwa-OPS,V2X-Hub,2024-01-11,79,30
usdot-fhwa-OPS,V2X-Hub,2024-01-12,66,28
usdot-fhwa-OPS,V2X-Hub,2024-01-13,2,2
usdot-fhwa-OPS,V2X-Hub,2024-01-14,5,2
usdot-fhwa-OPS,V2X-Hub,2024-01-15,2,1
