Start date,End date,Org,Repo,Referrer,Count,Unique
2024-08-26,2024-09-09,usdot-fhwa-stol,.github,github.com,11,1
2024-08-26,2024-09-09,usdot-fhwa-stol,.github,statics.gov.teams.microsoft.us,4,1
2024-08-26,2024-09-09,usdot-fhwa-stol,actions,github.com,24,1
2024-08-26,2024-09-09,usdot-fhwa-stol,actions,usdot-carma.atlassian.net,1,1
2024-08-26,2024-09-09,usdot-fhwa-stol,ads-traffic-regs,fhwa.dot.gov,4,1
2024-08-26,2024-09-09,usdot-fhwa-stol,autoware.auto,github.com,27,3
2024-08-26,2024-09-09,usdot-fhwa-stol,autoware.auto,usdot-carma.atlassian.net,8,1
2024-08-26,2024-09-09,usdot-fhwa-stol,autoware.auto,Google,1,1
2024-08-26,2024-09-09,usdot-fhwa-stol,c1t2x-emulator,github.com,46,2
2024-08-26,2024-09-09,usdot-fhwa-stol,c1t2x-emulator,excel.gov.online.office365.us,1,1
2024-08-26,2024-09-09,usdot-fhwa-stol,c1t_bringup,github.com,70,8
2024-08-26,2024-09-09,usdot-fhwa-stol,c1t_bringup,Google,3,1
2024-08-26,2024-09-09,usdot-fhwa-stol,c1t_bringup,usdot-carma.atlassian.net,3,1
2024-08-26,2024-09-09,usdot-fhwa-stol,c1t_bringup,statics.gov.teams.microsoft.us,2,1
2024-08-26,2024-09-09,usdot-fhwa-stol,c1t_bringup,excel.gov.online.office365.us,2,1
2024-08-26,2024-09-09,usdot-fhwa-stol,c1t_zed_driver,github.com,1,1
2024-08-26,2024-09-09,usdot-fhwa-stol,carla-sensor-lib,github.com,1,1
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-1-tenth,chatgpt.com,1,1
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-analytics-fotda,github.com,57,9
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-analytics-fotda,Google,10,1
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-analytics-fotda,its.dot.gov,3,1
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-analytics-fotda,usdot-carma.atlassian.net,1,1
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-base,github.com,57,3
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-base,Google,22,2
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-base,community.sonarsource.com,2,1
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-builds,github.com,2,1
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-carla-integration,Google,6,2
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-cloud,github.com,186,11
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-cloud,Google,113,4
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-cloud,statics.gov.teams.microsoft.us,12,2
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-cohda-dsrc-driver,statics.gov.teams.microsoft.us,22,3
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-cohda-dsrc-driver,github.com,13,2
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-cohda-dsrc-driver,answers.ros.org,6,1
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-config,github.com,149,14
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-config,Google,67,8
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-config,usdot-carma.atlassian.net,21,1
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-config,statics.gov.teams.microsoft.us,13,3
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-config,github.dev,2,1
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-config,hub.docker.com,2,1
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-delphi-esr-driver,Google,59,3
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,Google,6,1
2024-08-26,2024-09-09,usdot-fhwa-stol,carma-j2735,Google,3,1
