Org,Repo,Date,Clones count,Clones unique
usdot-fhwa-OPS,V2X-Hub,2023-06-01,3,2
usdot-fhwa-OPS,V2X-Hub,2023-06-02,19,9
usdot-fhwa-OPS,V2X-Hub,2023-06-03,6,3
usdot-fhwa-OPS,V2X-Hub,2023-06-04,3,2
usdot-fhwa-OPS,V2X-Hub,2023-06-05,15,4
usdot-fhwa-OPS,V2X-Hub,2023-06-06,65,5
usdot-fhwa-OPS,V2X-Hub,2023-06-07,6,4
usdot-fhwa-OPS,V2X-Hub,2023-06-08,15,4
usdot-fhwa-OPS,V2X-Hub,2023-06-09,7,3
usdot-fhwa-OPS,V2X-Hub,2023-06-10,2,1
usdot-fhwa-OPS,V2X-Hub,2023-06-12,15,6
usdot-fhwa-OPS,V2X-Hub,2023-06-13,6,4
usdot-fhwa-OPS,V2X-Hub,2023-06-14,5,5
