Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
CARMAConcept,2,9,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WxDE,0,15,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,22,15,7,2,9,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ads-traffic-regs,2,14,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,1,0,1,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arena_camera_ros,0,1,0,1,0,1,1,1,100%,1,100%,N/A,N/A,0,0,0,0,N/A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autoware.ai,5,7,12,1,1,0,1,1,100%,1,100%,N/A,N/A,250,72,129,2,3,20,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autoware.auto,2,7,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,20,11,9,0,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avt_vimba_camera,3,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,98,43,55,0,6,15,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_razor_imu_m0_driver,0,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_rplidar_driver,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_vesc_driver,0,6,0,2,2,0,0,0,N/A,0,N/A,0%,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_zed_driver,0,6,0,1,1,0,0,0,N/A,0,N/A,0%,3,0,0,0,0,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carla-simulation,0,2,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-1-tenth,13,12,6,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-analytics-fotda,2,15,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,17,16,1,1,4,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-base,1,15,6,8,6,2,0,0,N/A,0,N/A,38%,9,170,55,115,3,2,21,10,11,0,0,0,0,0,3,3,0,0,2,1,2,2,0,0
carma-cadillac-srx-2013-controller-driver,0,9,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,24,6,18,0,1,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-carla-integration,2,12,2,18,16,2,9,9,100%,8,89%,67%,29,51,42,9,1,6,11,9,2,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0
carma-cloud,20,12,14,13,12,1,7,7,100%,7,100%,0%,35,43,37,6,1,9,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-cohda-dsrc-driver,11,9,9,4,1,3,1,1,100%,1,100%,0%,271,109,49,60,0,4,18,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-config,3,14,11,8,7,1,1,1,100%,1,100%,29%,10,299,93,111,2,3,20,11,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
carma-delphi-esr-driver,4,9,2,2,0,2,1,1,100%,1,100%,0%,2,59,37,22,0,3,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-delphi-srr2-driver,0,9,0,1,0,1,0,0,N/A,0,N/A,0%,2,63,34,29,2,3,10,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-freightliner-2012-controller-driver,0,9,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,19,4,15,0,1,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-garmin-lidar-lite-v3-driver-wrapper,1,9,2,1,0,1,0,0,N/A,0,N/A,0%,0,80,36,44,0,5,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-lightbar-driver,1,10,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,70,41,29,0,4,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-message-filters,0,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,4,3,1,0,9,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-messenger,14,12,10,17,15,2,6,5,83%,4,67%,18%,13,199,133,63,0,5,21,10,11,1,1,0,0,0,3,3,0,0,3,0,2,2,0,0
carma-mobileye-driver,0,6,0,1,0,1,1,1,100%,1,100%,N/A,N/A,0,0,0,0,N/A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-msgs,5,9,8,13,10,3,4,4,100%,4,100%,67%,15,210,100,107,3,4,26,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-novatel-oem7-driver-wrapper,1,7,0,1,1,0,0,0,N/A,0,N/A,100%,0,28,22,6,0,4,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-platform,381,48,112,1075,608,467,250,242,97%,231,92%,15%,93,1174,660,611,250,2,40,23,17,20,20,0,0,19,20,20,0,0,0,19,4,4,0,0
carma-rtk,0,5,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdasim,28,16,13,20,10,10,13,13,100%,11,85%,71%,26,179,121,58,4,12,24,10,14,1,1,0,0,0,7,7,0,0,6,1,1,1,0,0
carma-ssc-interface-wrapper,1,16,6,5,1,4,1,1,100%,1,100%,25%,12,138,47,91,1,3,16,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-streets,8,7,9,164,163,1,40,40,100%,34,85%,2%,76,231,209,14,20,5,11,9,2,2,2,0,0,1,2,2,0,0,0,1,1,1,0,0
carma-torc-pinpoint-driver,0,9,1,1,1,0,0,0,N/A,0,N/A,0%,0,39,19,20,1,1,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-torc-xgv-controller-driver,1,10,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,18,4,14,0,1,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-utils,2,10,5,23,22,1,6,6,100%,2,33%,65%,8,183,99,83,5,4,21,12,9,3,3,0,0,1,9,9,0,0,5,2,4,4,0,0
carma-validation,0,8,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-vehicle-model-framework,5,10,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,62,33,29,0,3,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-velodyne-lidar-driver,0,9,2,2,0,2,0,0,N/A,0,N/A,50%,0,104,45,59,0,3,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-web-ui,4,10,4,6,4,2,0,0,N/A,0,N/A,33%,65,154,110,44,0,4,17,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cav-education,3,9,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,21,17,4,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
github_metrics,0,7,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,13,1,12,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mosaic,0,2,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novatel_gps_driver,1,5,4,0,0,0,0,0,N/A,0,N/A,N/A,N/A,107,37,70,0,3,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opendrive2lanelet,21,4,8,0,0,0,0,0,N/A,0,N/A,N/A,N/A,21,13,8,1,5,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ros1_bridge,1,1,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,21,12,9,3,1,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rosbridge_suite,0,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sumo,0,2,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
testing-training-tools,0,5,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tim-bc,0,6,0,2,2,0,0,0,N/A,0,N/A,0%,93,23,23,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voices-cda-use-case-scenario-database,0,7,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,2,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voices-poc,0,10,1,1,1,0,0,0,N/A,0,N/A,0%,0,24,22,2,2,10,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,548,481,267,1391,884,507,342,333,97%,308,90%,16%,84,4355,2326,1967,309,4,77,33,45,27,27,0,0,22,46,46,0,0,18,25,6,6,0,0
