Org,Repo,Date,Clones count,Clones unique
usdot-fhwa-stol,autoware.auto,2023-01-18,3,3
usdot-fhwa-stol,carma-analytics-fotda,2023-01-18,1,1
usdot-fhwa-stol,carma-builds,2023-01-18,14,8
usdot-fhwa-stol,carma-messenger,2023-01-18,8,2
usdot-fhwa-stol,carma-msgs,2023-01-18,16,6
usdot-fhwa-stol,carma-platform,2023-01-18,5,2
usdot-fhwa-stol,carma-streets,2023-01-18,23,5
usdot-fhwa-stol,carma-utils,2023-01-18,8,2
usdot-fhwa-stol,devops,2023-01-18,4,1
usdot-fhwa-stol,documentation,2023-01-18,2,2
usdot-fhwa-stol,.github,2023-01-19,1,1
usdot-fhwa-stol,autoware.auto,2023-01-19,4,4
usdot-fhwa-stol,carma-carla-integration,2023-01-19,1,1
usdot-fhwa-stol,carma-cloud,2023-01-19,9,5
usdot-fhwa-stol,carma-config,2023-01-19,1,1
usdot-fhwa-stol,carma-messenger,2023-01-19,7,2
usdot-fhwa-stol,carma-msgs,2023-01-19,15,6
usdot-fhwa-stol,carma-platform,2023-01-19,12,7
usdot-fhwa-stol,carma-simulation,2023-01-19,3,3
usdot-fhwa-stol,carma-ssc-interface-wrapper,2023-01-19,1,1
usdot-fhwa-stol,carma-streets,2023-01-19,1,1
usdot-fhwa-stol,carma-utils,2023-01-19,7,2
usdot-fhwa-stol,carma-velodyne-lidar-driver,2023-01-19,1,1
usdot-fhwa-stol,devops,2023-01-19,4,2
usdot-fhwa-stol,documentation,2023-01-19,4,2
usdot-fhwa-stol,dwm1001_ros2,2023-01-19,1,1
usdot-fhwa-stol,voices-cda-use-case-scenario-database,2023-01-19,1,1
usdot-fhwa-stol,.github,2023-01-20,1,1
usdot-fhwa-stol,WxDE,2023-01-20,1,1
usdot-fhwa-stol,carma-base,2023-01-20,1,1
usdot-fhwa-stol,carma-builds,2023-01-20,4,3
usdot-fhwa-stol,carma-cloud,2023-01-20,1,1
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-01-20,2,1
usdot-fhwa-stol,carma-messenger,2023-01-20,20,4
usdot-fhwa-stol,carma-msgs,2023-01-20,21,5
usdot-fhwa-stol,carma-platform,2023-01-20,8,1
usdot-fhwa-stol,carma-streets,2023-01-20,1,1
usdot-fhwa-stol,carma-utils,2023-01-20,21,5
usdot-fhwa-stol,carma-velodyne-lidar-driver,2023-01-20,1,1
usdot-fhwa-stol,devops,2023-01-20,13,1
usdot-fhwa-stol,documentation,2023-01-20,1,1
usdot-fhwa-stol,WxDE,2023-01-21,1,1
usdot-fhwa-stol,carma-cloud,2023-01-21,1,1
usdot-fhwa-stol,carma-msgs,2023-01-21,1,1
usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,2023-01-21,1,1
usdot-fhwa-stol,carma-platform,2023-01-21,1,1
usdot-fhwa-stol,devops,2023-01-21,1,1
usdot-fhwa-stol,.github,2023-01-22,1,1
usdot-fhwa-stol,actions,2023-01-23,28,11
usdot-fhwa-stol,carma-analytics-fotda,2023-01-23,3,3
usdot-fhwa-stol,carma-builds,2023-01-23,16,4
usdot-fhwa-stol,carma-cloud,2023-01-23,1,1
usdot-fhwa-stol,carma-messenger,2023-01-23,9,3
usdot-fhwa-stol,carma-msgs,2023-01-23,712,6
usdot-fhwa-stol,carma-platform,2023-01-23,855,6
usdot-fhwa-stol,carma-simulation,2023-01-23,1,1
usdot-fhwa-stol,carma-streets,2023-01-23,9,5
usdot-fhwa-stol,carma-utils,2023-01-23,9,3
usdot-fhwa-stol,devops,2023-01-23,2,1
