Org,Repo,Date,Clones count,Clones unique
usdot-jpo-ode,asn1_codec,2023-03-18,2,2
usdot-jpo-ode,jpo-cvdp,2023-03-18,2,2
usdot-jpo-ode,jpo-ode,2023-03-18,3,3
usdot-jpo-ode,jpo-s3-deposit,2023-03-18,2,2
usdot-jpo-ode,jpo-sdw-depositor,2023-03-18,2,2
usdot-jpo-ode,jpo-security-svcs,2023-03-18,2,2
usdot-jpo-ode,ode-output-validator-library,2023-03-18,2,2
usdot-jpo-ode,scms-asn1,2023-03-18,2,2
usdot-jpo-ode,usdot-jpo-ode.github.io,2023-03-18,1,1
usdot-jpo-ode,jpo-cvmanager,2023-03-19,1,1
usdot-jpo-ode,jpo-ode,2023-03-19,1,1
usdot-jpo-ode,jpo-s3-deposit,2023-03-19,1,1
usdot-jpo-ode,TDx,2023-03-20,1,1
usdot-jpo-ode,jpo-conflictmonitor,2023-03-20,3,3
usdot-jpo-ode,jpo-cvdp,2023-03-20,3,2
usdot-jpo-ode,jpo-cvmanager,2023-03-20,1,1
usdot-jpo-ode,jpo-ode,2023-03-20,2,2
usdot-jpo-ode,jpo-s3-deposit,2023-03-20,1,1
usdot-jpo-ode,TDx,2023-03-21,9,5
usdot-jpo-ode,asn1_codec,2023-03-21,4,2
usdot-jpo-ode,jpo-conflictmonitor,2023-03-21,1,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-03-21,1,1
usdot-jpo-ode,jpo-cvdp,2023-03-21,2,1
usdot-jpo-ode,jpo-geojsonconverter,2023-03-21,1,1
usdot-jpo-ode,jpo-ode,2023-03-21,4,3
usdot-jpo-ode,jpo-record-parser,2023-03-21,2,1
usdot-jpo-ode,jpo-s3-deposit,2023-03-21,2,1
usdot-jpo-ode,jpo-sdw-depositor,2023-03-21,2,1
usdot-jpo-ode,jpo-security,2023-03-21,2,1
usdot-jpo-ode,jpo-security-svcs,2023-03-21,2,1
usdot-jpo-ode,jpo-tim-builder,2023-03-21,2,1
usdot-jpo-ode,ode-output-validator-library,2023-03-21,2,1
