Org,Repo,Date,Views count,Views unique
usdot-fhwa-stol,carla-sensor-lib,2024-02-16,3,2
usdot-fhwa-stol,carma-analytics-fotda,2024-02-16,4,2
usdot-fhwa-stol,carma-base,2024-02-16,3,1
usdot-fhwa-stol,carma-carla-integration,2024-02-16,8,2
usdot-fhwa-stol,carma-cloud,2024-02-16,63,3
usdot-fhwa-stol,carma-cohda-dsrc-driver,2024-02-16,3,2
usdot-fhwa-stol,carma-config,2024-02-16,184,14
usdot-fhwa-stol,carma-messenger,2024-02-16,1,1
usdot-fhwa-stol,carma-msgs,2024-02-16,4,1
usdot-fhwa-stol,carma-platform,2024-02-16,207,11
usdot-fhwa-stol,carma-streets,2024-02-16,7,2
usdot-fhwa-stol,carma-vehicle-model-framework,2024-02-16,2,1
usdot-fhwa-stol,cav-education,2024-02-16,2,1
usdot-fhwa-stol,cda-telematics,2024-02-16,524,8
usdot-fhwa-stol,cdasim,2024-02-16,62,5
usdot-fhwa-stol,github_metrics,2024-02-16,3,1
usdot-fhwa-stol,j2735decoder,2024-02-16,2,1
usdot-fhwa-stol,ns3-federate,2024-02-16,2,1
usdot-fhwa-stol,scenario-runner,2024-02-16,4,2
usdot-fhwa-stol,voices-poc,2024-02-16,3,1
usdot-fhwa-stol,carma-config,2024-02-17,1,1
usdot-fhwa-stol,carma-msgs,2024-02-17,2,1
usdot-fhwa-stol,carma-platform,2024-02-17,5,5
usdot-fhwa-stol,cav-education,2024-02-17,7,1
usdot-fhwa-stol,cda-telematics,2024-02-17,4,1
usdot-fhwa-stol,cdasim,2024-02-17,20,2
usdot-fhwa-stol,documentation,2024-02-17,1,1
usdot-fhwa-stol,carma-config,2024-02-18,9,1
usdot-fhwa-stol,carma-platform,2024-02-18,21,4
usdot-fhwa-stol,cda-telematics,2024-02-18,4,2
usdot-fhwa-stol,cdasim,2024-02-18,3,1
usdot-fhwa-stol,ads-traffic-regs,2024-02-19,1,1
usdot-fhwa-stol,carma-base,2024-02-19,9,2
usdot-fhwa-stol,carma-carla-integration,2024-02-19,3,2
usdot-fhwa-stol,carma-cloud,2024-02-19,10,3
usdot-fhwa-stol,carma-cohda-dsrc-driver,2024-02-19,11,1
