Org,Repo,Date,Views count,Views unique
usdot-jpo-ode,jpo-ode,2023-07-01,6,2
usdot-jpo-ode,jpo-ode,2023-07-02,3,2
usdot-jpo-ode,wzdx,2023-07-02,8,1
usdot-jpo-ode,asn1_codec,2023-07-03,50,2
usdot-jpo-ode,jpo-conflictmonitor,2023-07-03,51,2
usdot-jpo-ode,jpo-conflictvisualizer,2023-07-03,18,3
usdot-jpo-ode,jpo-cvdp,2023-07-03,25,2
usdot-jpo-ode,jpo-cvmanager,2023-07-03,6,1
usdot-jpo-ode,jpo-geojsonconverter,2023-07-03,11,1
usdot-jpo-ode,jpo-ode,2023-07-03,41,6
usdot-jpo-ode,jpo-s3-deposit,2023-07-03,15,1
usdot-jpo-ode,jpo-sdw-depositor,2023-07-03,17,2
usdot-jpo-ode,jpo-security-svcs,2023-07-03,15,2
usdot-jpo-ode,scms-asn1,2023-07-03,1,1
usdot-jpo-ode,usdot-jpo-ode.github.io,2023-07-03,2,1
usdot-jpo-ode,wzdx,2023-07-03,42,13
usdot-jpo-ode,jpo-ode,2023-07-04,5,4
usdot-jpo-ode,wzdx,2023-07-04,13,2
usdot-jpo-ode,asn1_codec,2023-07-05,77,4
usdot-jpo-ode,jpo-conflictmonitor,2023-07-05,23,2
usdot-jpo-ode,jpo-conflictvisualizer,2023-07-05,8,1
usdot-jpo-ode,jpo-cvdp,2023-07-05,79,4
usdot-jpo-ode,jpo-cvmanager,2023-07-05,13,1
usdot-jpo-ode,jpo-geojsonconverter,2023-07-05,7,1
usdot-jpo-ode,jpo-ode,2023-07-05,94,7
usdot-jpo-ode,jpo-s3-deposit,2023-07-05,57,3
usdot-jpo-ode,jpo-sdw-depositor,2023-07-05,41,4
usdot-jpo-ode,jpo-security-svcs,2023-07-05,51,3
usdot-jpo-ode,scms-asn1,2023-07-05,1,1
usdot-jpo-ode,wzdx,2023-07-05,75,26
usdot-jpo-ode,TDx,2023-07-06,1,1
usdot-jpo-ode,jpo-cvdp,2023-07-06,10,1
usdot-jpo-ode,jpo-cvmanager,2023-07-06,2,1
usdot-jpo-ode,jpo-geojsonconverter,2023-07-06,2,1
usdot-jpo-ode,jpo-ode,2023-07-06,10,6
usdot-jpo-ode,scms-asn1,2023-07-06,3,1
usdot-jpo-ode,wzdx,2023-07-06,178,21
usdot-jpo-ode,TDx,2023-07-07,2,1
usdot-jpo-ode,asn1_codec,2023-07-07,7,2
usdot-jpo-ode,jpo-cvdp,2023-07-07,25,2
usdot-jpo-ode,jpo-cvmanager,2023-07-07,2,1
usdot-jpo-ode,jpo-ode,2023-07-07,24,5
usdot-jpo-ode,jpo-sdw-depositor,2023-07-07,9,1
usdot-jpo-ode,wzdx,2023-07-07,119,15
usdot-jpo-ode,jpo-cvdp,2023-07-08,2,1
usdot-jpo-ode,jpo-ode,2023-07-08,5,2
usdot-jpo-ode,wzdx,2023-07-08,8,3
usdot-jpo-ode,asn1_codec,2023-07-09,1,1
usdot-jpo-ode,jpo-cvdp,2023-07-09,1,1
usdot-jpo-ode,jpo-ode,2023-07-09,24,2
usdot-jpo-ode,wzdx,2023-07-09,13,7
usdot-jpo-ode,TDx,2023-07-10,7,3
usdot-jpo-ode,asn1_codec,2023-07-10,22,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-07-10,1,1
usdot-jpo-ode,jpo-cvdp,2023-07-10,133,7
usdot-jpo-ode,jpo-cvmanager,2023-07-10,2,1
usdot-jpo-ode,jpo-ode,2023-07-10,10,3
usdot-jpo-ode,scms-asn1,2023-07-10,27,3
usdot-jpo-ode,wzdx,2023-07-10,131,20
usdot-jpo-ode,TDx,2023-07-11,53,12
usdot-jpo-ode,jpo-conflictmonitor,2023-07-11,5,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-07-11,5,1
usdot-jpo-ode,jpo-cvdp,2023-07-11,6,1
usdot-jpo-ode,jpo-ode,2023-07-11,13,5
usdot-jpo-ode,scms-asn1,2023-07-11,9,2
usdot-jpo-ode,wzdx,2023-07-11,150,25
usdot-jpo-ode,asn1_codec,2023-07-12,8,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-07-12,4,1
usdot-jpo-ode,jpo-cvdp,2023-07-12,154,3
usdot-jpo-ode,jpo-cvmanager,2023-07-12,1,1
usdot-jpo-ode,jpo-ode,2023-07-12,5,2
usdot-jpo-ode,jpo-sdw-depositor,2023-07-12,30,1
usdot-jpo-ode,jpo-security,2023-07-12,2,1
usdot-jpo-ode,wzdx,2023-07-12,293,21
usdot-jpo-ode,TDx,2023-07-13,1,1
usdot-jpo-ode,asn1_codec,2023-07-13,10,3
usdot-jpo-ode,jpo-conflictmonitor,2023-07-13,2,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-07-13,6,1
usdot-jpo-ode,jpo-cvdp,2023-07-13,11,4
usdot-jpo-ode,jpo-geojsonconverter,2023-07-13,1,1
usdot-jpo-ode,jpo-ode,2023-07-13,41,8
usdot-jpo-ode,jpo-security-svcs,2023-07-13,3,1
usdot-jpo-ode,scms-asn1,2023-07-13,5,2
usdot-jpo-ode,wzdx,2023-07-13,318,32
usdot-jpo-ode,TDx,2023-07-14,8,2
usdot-jpo-ode,jpo-conflictmonitor,2023-07-14,1,1
usdot-jpo-ode,jpo-ode,2023-07-14,8,3
usdot-jpo-ode,wzdx,2023-07-14,106,10
