Org,Repo,Date,Views count,Views unique
usdot-jpo-ode,TDx,2024-04-17,42,5
usdot-jpo-ode,asn1_codec,2024-04-17,2,1
usdot-jpo-ode,jpo-cvmanager,2024-04-17,5,1
usdot-jpo-ode,jpo-ode,2024-04-17,11,4
usdot-jpo-ode,jpo-s3-deposit,2024-04-17,85,2
usdot-jpo-ode,wzdx,2024-04-17,424,32
usdot-jpo-ode,TDx,2024-04-18,56,5
usdot-jpo-ode,jpo-conflictvisualizer,2024-04-18,1,1
usdot-jpo-ode,jpo-cvmanager,2024-04-18,2,2
usdot-jpo-ode,jpo-ode,2024-04-18,29,6
usdot-jpo-ode,jpo-sdw-depositor,2024-04-18,1,1
usdot-jpo-ode,wzdx,2024-04-18,235,19
usdot-jpo-ode,TDx,2024-04-19,4,1
usdot-jpo-ode,jpo-ode,2024-04-19,12,4
usdot-jpo-ode,scms-asn1,2024-04-19,4,2
usdot-jpo-ode,wzdx,2024-04-19,157,21
usdot-jpo-ode,wzdx,2024-04-20,46,4
usdot-jpo-ode,jpo-conflictvisualizer,2024-04-21,4,1
usdot-jpo-ode,jpo-ode,2024-04-21,1,1
usdot-jpo-ode,wzdx,2024-04-21,2,1
usdot-jpo-ode,TDx,2024-04-22,2,2
usdot-jpo-ode,jpo-ode,2024-04-22,42,2
usdot-jpo-ode,scms-asn1,2024-04-22,144,7
usdot-jpo-ode,wzdx,2024-04-22,95,9
usdot-jpo-ode,TDx,2024-04-23,90,5
usdot-jpo-ode,asn1_codec,2024-04-23,39,1
usdot-jpo-ode,jpo-conflictmonitor,2024-04-23,16,2
usdot-jpo-ode,jpo-conflictvisualizer,2024-04-23,6,2
usdot-jpo-ode,jpo-ode,2024-04-23,18,4
usdot-jpo-ode,jpo-sdw-depositor,2024-04-23,1,1
usdot-jpo-ode,scms-asn1,2024-04-23,18,1
usdot-jpo-ode,wzdx,2024-04-23,133,18
usdot-jpo-ode,TDx,2024-04-24,17,6
usdot-jpo-ode,asn1_codec,2024-04-24,1,1
usdot-jpo-ode,jpo-conflictmonitor,2024-04-24,64,4
usdot-jpo-ode,jpo-conflictvisualizer,2024-04-24,12,6
usdot-jpo-ode,jpo-cvdp,2024-04-24,1,1
usdot-jpo-ode,jpo-cvmanager,2024-04-24,13,2
usdot-jpo-ode,jpo-geojsonconverter,2024-04-24,1,1
usdot-jpo-ode,jpo-ode,2024-04-24,24,7
usdot-jpo-ode,jpo-s3-deposit,2024-04-24,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-04-24,1,1
usdot-jpo-ode,wzdx,2024-04-24,298,21
usdot-jpo-ode,TDx,2024-04-25,50,4
usdot-jpo-ode,jpo-conflictmonitor,2024-04-25,2,2
usdot-jpo-ode,jpo-conflictvisualizer,2024-04-25,2,2
usdot-jpo-ode,jpo-cvmanager,2024-04-25,6,1
usdot-jpo-ode,jpo-ode,2024-04-25,15,4
usdot-jpo-ode,jpo-sdw-depositor,2024-04-25,1,1
usdot-jpo-ode,jpo-security-svcs,2024-04-25,1,1
usdot-jpo-ode,ode-output-validator-library,2024-04-25,2,1
usdot-jpo-ode,scms-asn1,2024-04-25,2,1
usdot-jpo-ode,wzdx,2024-04-25,265,26
usdot-jpo-ode,TDx,2024-04-26,7,3
usdot-jpo-ode,asn1_codec,2024-04-26,1,1
usdot-jpo-ode,jpo-conflictmonitor,2024-04-26,3,2
usdot-jpo-ode,jpo-cvmanager,2024-04-26,10,2
usdot-jpo-ode,jpo-ode,2024-04-26,13,2
usdot-jpo-ode,jpo-s3-deposit,2024-04-26,4,1
usdot-jpo-ode,jpo-sdw-depositor,2024-04-26,1,1
usdot-jpo-ode,jpo-security-svcs,2024-04-26,1,1
usdot-jpo-ode,wzdx,2024-04-26,122,55
usdot-jpo-ode,wzdx,2024-04-27,69,32
usdot-jpo-ode,asn1_codec,2024-04-28,79,2
usdot-jpo-ode,jpo-ode,2024-04-28,3,1
usdot-jpo-ode,wzdx,2024-04-28,105,16
usdot-jpo-ode,TDx,2024-04-29,6,3
usdot-jpo-ode,asn1_codec,2024-04-29,12,2
usdot-jpo-ode,jpo-cvmanager,2024-04-29,13,2
usdot-jpo-ode,jpo-ode,2024-04-29,25,12
usdot-jpo-ode,jpo-s3-deposit,2024-04-29,10,1
usdot-jpo-ode,jpo-security,2024-04-29,2,1
usdot-jpo-ode,scms-asn1,2024-04-29,2,1
usdot-jpo-ode,wzdx,2024-04-29,155,30
usdot-jpo-ode,TDx,2024-04-30,17,4
usdot-jpo-ode,asn1_codec,2024-04-30,1,1
usdot-jpo-ode,jpo-conflictvisualizer,2024-04-30,31,4
usdot-jpo-ode,jpo-cvmanager,2024-04-30,2,1
usdot-jpo-ode,jpo-ode,2024-04-30,4,2
usdot-jpo-ode,jpo-s3-deposit,2024-04-30,3,3
usdot-jpo-ode,jpo-security-svcs,2024-04-30,1,1
usdot-jpo-ode,jpo-tim-builder,2024-04-30,2,1
usdot-jpo-ode,wzdx,2024-04-30,263,32
