Org,Repo,Date,Views count,Views unique
usdot-jpo-ode,TDx,2022-11-17,3,1
usdot-jpo-ode,jpo-conflictmonitor,2022-11-17,4,1
usdot-jpo-ode,jpo-cvdp,2022-11-17,1,1
usdot-jpo-ode,jpo-geojsonconverter,2022-11-17,2,1
usdot-jpo-ode,jpo-ode,2022-11-17,10,5
usdot-jpo-ode,jpo-security,2022-11-17,1,1
usdot-jpo-ode,scms-asn1,2022-11-17,1,1
usdot-jpo-ode,wzdx,2022-11-17,150,24
usdot-jpo-ode,asn1_codec,2022-11-18,4,1
usdot-jpo-ode,jpo-cvdp,2022-11-18,2,1
usdot-jpo-ode,jpo-geojsonconverter,2022-11-18,4,1
usdot-jpo-ode,jpo-ode,2022-11-18,15,4
usdot-jpo-ode,jpo-s3-deposit,2022-11-18,1,1
usdot-jpo-ode,wzdx,2022-11-18,291,32
usdot-jpo-ode,asn1_codec,2022-11-19,3,1
usdot-jpo-ode,jpo-ode,2022-11-19,1,1
usdot-jpo-ode,jpo-security-svcs,2022-11-19,7,1
usdot-jpo-ode,scms-asn1,2022-11-19,2,1
usdot-jpo-ode,wzdx,2022-11-19,6,2
usdot-jpo-ode,wzdx,2022-11-20,5,1
usdot-jpo-ode,TDx,2022-11-21,24,3
usdot-jpo-ode,asn1_codec,2022-11-21,16,5
usdot-jpo-ode,jpo-conflictmonitor,2022-11-21,21,1
usdot-jpo-ode,jpo-geojsonconverter,2022-11-21,45,3
usdot-jpo-ode,jpo-ode,2022-11-21,23,11
usdot-jpo-ode,wzdx,2022-11-21,392,46
usdot-jpo-ode,TDx,2022-11-22,11,2
usdot-jpo-ode,jpo-conflictmonitor,2022-11-22,16,1
usdot-jpo-ode,jpo-cvdp,2022-11-22,4,4
usdot-jpo-ode,jpo-geojsonconverter,2022-11-22,24,3
usdot-jpo-ode,jpo-ode,2022-11-22,4,2
usdot-jpo-ode,jpo-security,2022-11-22,8,1
usdot-jpo-ode,scms-asn1,2022-11-22,1,1
usdot-jpo-ode,wzdx,2022-11-22,84,26
usdot-jpo-ode,TDx,2022-11-23,3,1
usdot-jpo-ode,asn1_codec,2022-11-23,1,1
usdot-jpo-ode,jpo-ode,2022-11-23,1,1
usdot-jpo-ode,jpo-security,2022-11-23,1,1
usdot-jpo-ode,wzdx,2022-11-23,73,11
usdot-jpo-ode,asn1_codec,2022-11-24,8,2
usdot-jpo-ode,jpo-cvdp,2022-11-24,1,1
usdot-jpo-ode,jpo-ode,2022-11-24,17,4
usdot-jpo-ode,jpo-security,2022-11-24,2,2
usdot-jpo-ode,scms-asn1,2022-11-24,1,1
usdot-jpo-ode,wzdx,2022-11-24,8,4
usdot-jpo-ode,jpo-ode,2022-11-25,5,2
usdot-jpo-ode,jpo-security,2022-11-25,5,1
usdot-jpo-ode,scms-asn1,2022-11-25,1,1
usdot-jpo-ode,wzdx,2022-11-25,7,4
usdot-jpo-ode,jpo-ode,2022-11-26,2,2
usdot-jpo-ode,jpo-security,2022-11-26,2,1
usdot-jpo-ode,wzdx,2022-11-26,2,2
usdot-jpo-ode,jpo-geojsonconverter,2022-11-27,1,1
usdot-jpo-ode,jpo-ode,2022-11-27,4,3
usdot-jpo-ode,jpo-security,2022-11-27,1,1
usdot-jpo-ode,wzdx,2022-11-27,2,2
usdot-jpo-ode,TDx,2022-11-28,7,3
usdot-jpo-ode,jpo-conflictmonitor,2022-11-28,10,1
usdot-jpo-ode,jpo-geojsonconverter,2022-11-28,1,1
usdot-jpo-ode,jpo-ode,2022-11-28,5,3
usdot-jpo-ode,scms-asn1,2022-11-28,1,1
usdot-jpo-ode,wzdx,2022-11-28,109,51
usdot-jpo-ode,jpo-conflictmonitor,2022-11-29,2,2
usdot-jpo-ode,jpo-geojsonconverter,2022-11-29,78,4
usdot-jpo-ode,jpo-ode,2022-11-29,13,3
usdot-jpo-ode,wzdx,2022-11-29,176,35
usdot-jpo-ode,TDx,2022-11-30,2,1
usdot-jpo-ode,asn1_codec,2022-11-30,2,1
usdot-jpo-ode,jpo-ode,2022-11-30,11,4
usdot-jpo-ode,scms-asn1,2022-11-30,1,1
usdot-jpo-ode,wzdx,2022-11-30,233,39
usdot-jpo-ode,scms-asn1,2022-12-01,1,1
usdot-jpo-ode,wzdx,2022-12-01,3,1
