Start date,End date,Org,Repo,Referrer,Count,Unique
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-utils,Google,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-velodyne-lidar-driver,github.com,12,1
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-vesc-ssc-wrapper,github.com,2,1
2024-08-31,2024-09-14,usdot-fhwa-stol,CARMAConcept,github.com,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,cav-education,search.brave.com,5,1
2024-08-31,2024-09-14,usdot-fhwa-stol,cave-lite,search.brave.com,6,1
2024-08-31,2024-09-14,usdot-fhwa-stol,cda-telematics,Google,14,5
2024-08-31,2024-09-14,usdot-fhwa-stol,cda-telematics,github.com,12,1
2024-08-31,2024-09-14,usdot-fhwa-stol,cda-telematics,word-edit.gov.online.office365.us,10,5
2024-08-31,2024-09-14,usdot-fhwa-stol,cdasim,Google,418,14
2024-08-31,2024-09-14,usdot-fhwa-stol,cdasim,github.com,88,7
2024-08-31,2024-09-14,usdot-fhwa-stol,cdasim,highways.dot.gov,8,2
2024-08-31,2024-09-14,usdot-fhwa-stol,cdasim,Bing,5,2
2024-08-31,2024-09-14,usdot-fhwa-stol,connectedvcs-tools,github.com,123,3
2024-08-31,2024-09-14,usdot-fhwa-stol,connectedvcs-tools,statics.gov.teams.microsoft.us,25,3
2024-08-31,2024-09-14,usdot-fhwa-stol,connectedvcs-tools,usdot-carma.atlassian.net,23,3
2024-08-31,2024-09-14,usdot-fhwa-stol,connectedvcs-tools,cohdawireless.zendesk.com,2,1
2024-08-31,2024-09-14,usdot-fhwa-stol,connectedvcs-tools,cirrusv2x.atlassian.net,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,devops,github.com,69,2
2024-08-31,2024-09-14,usdot-fhwa-stol,devops,statics.gov.teams.microsoft.us,10,1
2024-08-31,2024-09-14,usdot-fhwa-stol,devops,usdot-carma.atlassian.net,7,1
2024-08-31,2024-09-14,usdot-fhwa-stol,devops,github.dev,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,documentation,github.com,3,1
2024-08-31,2024-09-14,usdot-fhwa-stol,dwm1001_ros2,Google,58,2
2024-08-31,2024-09-14,usdot-fhwa-stol,dwm1001_ros2,github.com,11,2
2024-08-31,2024-09-14,usdot-fhwa-stol,dwm1001_ros2,chatgpt.com,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,github_metrics,github.com,21,2
2024-08-31,2024-09-14,usdot-fhwa-stol,github_metrics,statics.gov.teams.microsoft.us,21,1
2024-08-31,2024-09-14,usdot-fhwa-stol,github_metrics,github.dev,2,1
2024-08-31,2024-09-14,usdot-fhwa-stol,github_metrics,Google,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,j2735decoder,Google,22,5
2024-08-31,2024-09-14,usdot-fhwa-stol,j2735decoder,Bing,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,multiple_object_tracking,github.com,9,2
2024-08-31,2024-09-14,usdot-fhwa-stol,multiple_object_tracking,Google,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,navigation2_extensions,github.com,27,3
2024-08-31,2024-09-14,usdot-fhwa-stol,navigation2_extensions,statics.gov.teams.microsoft.us,2,1
2024-08-31,2024-09-14,usdot-fhwa-stol,snmp-client,github.com,11,1
2024-08-31,2024-09-14,usdot-fhwa-stol,To-21-426-modeling-HV-interactions-with-inconspicuous-ACC-equipped-vehicles,github.com,4,3
2024-08-31,2024-09-14,usdot-fhwa-stol,To-21-426-modeling-HV-interactions-with-inconspicuous-ACC-equipped-vehicles,chatgpt.com,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,To-21-426-modeling-HV-interactions-with-inconspicuous-ACC-equipped-vehicles,its.dot.gov,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,To-21-426-multivariate-piecewise-linear-ACC-car-following-model,github.com,3,2
2024-08-31,2024-09-14,usdot-fhwa-stol,To-21-426-multivariate-piecewise-linear-ACC-car-following-model,statics.gov.teams.microsoft.us,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,To-21-426-multivariate-piecewise-linear-ACC-car-following-model,its.dot.gov,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,twist_to_ackermann,github.com,10,1
2024-08-31,2024-09-14,usdot-fhwa-stol,voices-poc,Google,2,1
2024-08-31,2024-09-14,usdot-fhwa-stol,voices-poc,github.com,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,voices-poc,Bing,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,WxDE,Google,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,WxDE,github.com,1,1
