Org,Repo,Date,Views count,Views unique
usdot-fhwa-OPS,V2X-Hub,2023-11-01,184,16
usdot-fhwa-OPS,V2X-Hub,2023-11-02,174,15
usdot-fhwa-OPS,V2X-Hub,2023-11-03,73,21
usdot-fhwa-OPS,V2X-Hub,2023-11-04,50,4
usdot-fhwa-OPS,V2X-Hub,2023-11-05,11,4
usdot-fhwa-OPS,V2X-Hub,2023-11-06,122,14
usdot-fhwa-OPS,V2X-Hub,2023-11-07,449,21
usdot-fhwa-OPS,V2X-Hub,2023-11-08,290,24
usdot-fhwa-OPS,V2X-Hub,2023-11-09,167,39
usdot-fhwa-OPS,V2X-Hub,2023-11-10,72,11
usdot-fhwa-OPS,V2X-Hub,2023-11-11,12,3
usdot-fhwa-OPS,V2X-Hub,2023-11-12,22,3
usdot-fhwa-OPS,V2X-Hub,2023-11-13,268,15
usdot-fhwa-OPS,V2X-Hub,2023-11-14,106,12
