Start date,End date,Org,Repo,Referrer,Count,Unique
2023-12-17,2023-12-31,usdot-fhwa-stol,autoware.auto,Google,2,1
2023-12-17,2023-12-31,usdot-fhwa-stol,c1t2x-emulator,word-edit.gov.online.office365.us,139,2
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-1-tenth,Google,3,3
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-1-tenth,github.com,2,2
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-1-tenth,Bing,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-base,github.com,9,3
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-builds,github.com,3,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-cadillac-srx-2013-controller-driver,github.com,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-carla-integration,github.com,93,4
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-cloud,github.com,18,5
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-cloud,Google,2,2
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-cloud,its.dot.gov,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-cohda-dsrc-driver,Google,46,3
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-cohda-dsrc-driver,github.com,8,3
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-cohda-dsrc-driver,usdot-fhwa-stol.github.io,2,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-config,github.com,144,7
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-config,Google,16,2
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-config,usdot-fhwa-stol.github.io,11,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-delphi-esr-driver,Google,44,2
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-delphi-srr2-driver,hub.nuaa.cf,2,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-delphi-srr2-driver,Google,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,Google,2,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-j2735,Google,39,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-messenger,github.com,22,4
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-msgs,github.com,60,4
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-msgs,Google,8,2
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-msgs,usdot-fhwa-stol.github.io,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,github.com,3,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-ns3-adapter,github.com,7,2
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-platform,github.com,301,27
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-platform,Google,121,21
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-platform,highways.dot.gov,2,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-platform,usdot-oss4its.atlassian.net,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-slamtec-lidar-driver,github.com,6,2
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-ssc-interface-wrapper,github.com,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-streets,github.com,133,11
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-streets,Google,8,2
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-streets,cn.bing.com,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-streets,Bing,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-streets,yandex.ru,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-utils,github.com,55,4
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-utils,Google,20,2
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-utils,answers.ros.org,2,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-velodyne-lidar-driver,github.com,5,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-web-ui,github.com,12,1
2023-12-17,2023-12-31,usdot-fhwa-stol,carma-web-ui,Google,11,1
2023-12-17,2023-12-31,usdot-fhwa-stol,cav-education,pcb.its.dot.gov,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,cda-telematics,Google,19,2
2023-12-17,2023-12-31,usdot-fhwa-stol,cda-telematics,github.com,2,1
2023-12-17,2023-12-31,usdot-fhwa-stol,cdasim,github.com,115,11
2023-12-17,2023-12-31,usdot-fhwa-stol,cdasim,Google,115,10
2023-12-17,2023-12-31,usdot-fhwa-stol,cdasim,statics.gov.teams.microsoft.us,2,1
2023-12-17,2023-12-31,usdot-fhwa-stol,cdasim,Bing,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,cdasim,gitee.com,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,cdasim,linkedin.com,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,documentation,github.com,4,1
2023-12-17,2023-12-31,usdot-fhwa-stol,dwm1001_ros2,github.com,4,1
2023-12-17,2023-12-31,usdot-fhwa-stol,multiple_object_tracking,github.com,34,5
2023-12-17,2023-12-31,usdot-fhwa-stol,ns-3_c-v2x,github.com,2,1
2023-12-17,2023-12-31,usdot-fhwa-stol,ns-3_c-v2x,Google,1,1
2023-12-17,2023-12-31,usdot-fhwa-stol,ns3-federate,github.com,26,2
2023-12-17,2023-12-31,usdot-fhwa-stol,voices-poc,Google,34,2
2023-12-17,2023-12-31,usdot-fhwa-stol,voices-poc,github.com,2,1
2023-12-17,2023-12-31,usdot-fhwa-stol,voices-poc,usdot-voices.atlassian.net,2,1
2023-12-17,2023-12-31,usdot-fhwa-stol,voices-poc,gov.teams.microsoft.us,2,1
