Start date,End date,Org,Repo,Referrer,Count,Unique
2022-11-16,2022-11-30,usdot-jpo-ode,asn1_codec,github.com,15,5
2022-11-16,2022-11-30,usdot-jpo-ode,asn1_codec,Google,10,4
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-conflictmonitor,github.com,23,2
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-conflictmonitor,DuckDuckGo,10,1
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-cvdp,github.com,3,2
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-geojsonconverter,github.com,93,4
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-geojsonconverter,DuckDuckGo,16,1
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-geojsonconverter,Google,3,3
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-ode,github.com,31,5
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-ode,Google,23,15
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-ode,usdot-oss4its.atlassian.net,12,3
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-ode,DuckDuckGo,2,1
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-ode,data.transportation.gov,1,1
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-ode,pcb.its.dot.gov,1,1
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-ode,Bing,1,1
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-s3-deposit,Google,1,1
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-security,Google,10,2
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-security,github.com,8,1
2022-11-16,2022-11-30,usdot-jpo-ode,jpo-security-svcs,github.com,7,1
2022-11-16,2022-11-30,usdot-jpo-ode,scms-asn1,Google,5,5
2022-11-16,2022-11-30,usdot-jpo-ode,scms-asn1,github.com,2,1
2022-11-16,2022-11-30,usdot-jpo-ode,TDx,github.com,24,3
2022-11-16,2022-11-30,usdot-jpo-ode,TDx,Google,3,1
2022-11-16,2022-11-30,usdot-jpo-ode,wzdx,transportation.gov,131,27
2022-11-16,2022-11-30,usdot-jpo-ode,wzdx,Google,86,20
2022-11-16,2022-11-30,usdot-jpo-ode,wzdx,surveymonkey.com,40,5
2022-11-16,2022-11-30,usdot-jpo-ode,wzdx,github.com,27,8
2022-11-16,2022-11-30,usdot-jpo-ode,wzdx,statics.teams.cdn.office.net,26,5
2022-11-16,2022-11-30,usdot-jpo-ode,wzdx,fhwa.dot.gov,15,7
2022-11-16,2022-11-30,usdot-jpo-ode,wzdx,dev.azure.com,11,1
2022-11-16,2022-11-30,usdot-jpo-ode,wzdx,developers.google.com,6,4
2022-11-16,2022-11-30,usdot-jpo-ode,wzdx,data.transportation.gov,3,2
2022-11-16,2022-11-30,usdot-jpo-ode,wzdx,Bing,2,2
