Org,Repo,Date,Clones count,Clones unique
usdot-fhwa-stol,autoware.auto,2023-12-18,8,4
usdot-fhwa-stol,carma-base,2023-12-18,1,1
usdot-fhwa-stol,carma-carla-integration,2023-12-18,45,4
usdot-fhwa-stol,carma-cloud,2023-12-18,1,1
usdot-fhwa-stol,carma-config,2023-12-18,1,1
usdot-fhwa-stol,carma-messenger,2023-12-18,52,19
usdot-fhwa-stol,carma-msgs,2023-12-18,127,46
usdot-fhwa-stol,carma-ns3-adapter,2023-12-18,10,3
usdot-fhwa-stol,carma-platform,2023-12-18,49,5
usdot-fhwa-stol,carma-slamtec-lidar-driver,2023-12-18,1,1
usdot-fhwa-stol,carma-streets,2023-12-18,34,8
usdot-fhwa-stol,carma-utils,2023-12-18,125,44
usdot-fhwa-stol,cdasim,2023-12-18,4,2
usdot-fhwa-stol,documentation,2023-12-18,9,4
usdot-fhwa-stol,github_metrics,2023-12-18,1,1
usdot-fhwa-stol,multiple_object_tracking,2023-12-18,66,21
usdot-fhwa-stol,ns-3_c-v2x,2023-12-18,21,2
usdot-fhwa-stol,ns3-federate,2023-12-18,42,5
usdot-fhwa-stol,voices-poc,2023-12-18,1,1
usdot-fhwa-stol,autoware.auto,2023-12-19,4,2
usdot-fhwa-stol,carma-carla-integration,2023-12-19,2,1
usdot-fhwa-stol,carma-cloud,2023-12-19,1,1
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-12-19,12,1
usdot-fhwa-stol,carma-messenger,2023-12-19,13,7
usdot-fhwa-stol,carma-msgs,2023-12-19,111,15
usdot-fhwa-stol,carma-ns3-adapter,2023-12-19,6,5
usdot-fhwa-stol,carma-platform,2023-12-19,10,3
usdot-fhwa-stol,carma-streets,2023-12-19,18,5
usdot-fhwa-stol,carma-torc-pinpoint-driver,2023-12-19,1,1
usdot-fhwa-stol,carma-torc-xgv-controller-driver,2023-12-19,1,1
usdot-fhwa-stol,carma-utils,2023-12-19,22,12
usdot-fhwa-stol,carma-web-ui,2023-12-19,1,1
usdot-fhwa-stol,cdasim,2023-12-19,4,2
usdot-fhwa-stol,documentation,2023-12-19,3,3
usdot-fhwa-stol,multiple_object_tracking,2023-12-19,54,11
usdot-fhwa-stol,ns-3_c-v2x,2023-12-19,24,1
usdot-fhwa-stol,ns3-federate,2023-12-19,47,4
usdot-fhwa-stol,autoware.auto,2023-12-20,14,7
usdot-fhwa-stol,carma-base,2023-12-20,1,1
usdot-fhwa-stol,carma-carla-integration,2023-12-20,13,2
usdot-fhwa-stol,carma-cloud,2023-12-20,4,4
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-12-20,4,3
usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2023-12-20,1,1
usdot-fhwa-stol,carma-messenger,2023-12-20,64,13
usdot-fhwa-stol,carma-msgs,2023-12-20,100,27
usdot-fhwa-stol,carma-ns3-adapter,2023-12-20,1,1
usdot-fhwa-stol,carma-platform,2023-12-20,32,5
usdot-fhwa-stol,carma-streets,2023-12-20,14,5
usdot-fhwa-stol,carma-utils,2023-12-20,93,26
usdot-fhwa-stol,cdasim,2023-12-20,11,2
usdot-fhwa-stol,documentation,2023-12-20,6,3
usdot-fhwa-stol,multiple_object_tracking,2023-12-20,40,15
usdot-fhwa-stol,ns-3_c-v2x,2023-12-20,28,5
usdot-fhwa-stol,ns3-federate,2023-12-20,39,6
usdot-fhwa-stol,autoware.auto,2023-12-21,14,3
usdot-fhwa-stol,carma-cloud,2023-12-21,2,2
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-12-21,12,1
usdot-fhwa-stol,carma-messenger,2023-12-21,61,11
usdot-fhwa-stol,carma-msgs,2023-12-21,87,11
usdot-fhwa-stol,carma-platform,2023-12-21,38,6
usdot-fhwa-stol,carma-slamtec-lidar-driver,2023-12-21,3,2
usdot-fhwa-stol,carma-streets,2023-12-21,3,2
usdot-fhwa-stol,carma-utils,2023-12-21,92,16
usdot-fhwa-stol,cdasim,2023-12-21,7,2
usdot-fhwa-stol,documentation,2023-12-21,9,3
usdot-fhwa-stol,multiple_object_tracking,2023-12-21,43,12
usdot-fhwa-stol,ns-3_c-v2x,2023-12-21,30,5
usdot-fhwa-stol,ns3-federate,2023-12-21,48,9
usdot-fhwa-stol,voices-poc,2023-12-21,1,1
usdot-fhwa-stol,carma-carla-integration,2023-12-22,11,3
usdot-fhwa-stol,carma-cloud,2023-12-22,1,1
usdot-fhwa-stol,carma-messenger,2023-12-22,124,45
usdot-fhwa-stol,carma-msgs,2023-12-22,135,51
usdot-fhwa-stol,carma-ns3-adapter,2023-12-22,3,2
usdot-fhwa-stol,carma-platform,2023-12-22,124,7
usdot-fhwa-stol,carma-streets,2023-12-22,28,8
usdot-fhwa-stol,carma-utils,2023-12-22,135,50
usdot-fhwa-stol,cdasim,2023-12-22,1,1
usdot-fhwa-stol,documentation,2023-12-22,19,3
usdot-fhwa-stol,multiple_object_tracking,2023-12-22,75,47
usdot-fhwa-stol,ns-3_c-v2x,2023-12-22,6,2
usdot-fhwa-stol,ns3-federate,2023-12-22,9,3
usdot-fhwa-stol,WxDE,2023-12-23,1,1
usdot-fhwa-stol,autoware.auto,2023-12-23,1,1
usdot-fhwa-stol,carma-cloud,2023-12-23,2,2
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-12-23,1,1
usdot-fhwa-stol,carma-geodetic-lib,2023-12-23,1,1
usdot-fhwa-stol,carma-messenger,2023-12-23,16,8
usdot-fhwa-stol,carma-msgs,2023-12-23,18,9
usdot-fhwa-stol,carma-ns3-adapter,2023-12-23,1,1
usdot-fhwa-stol,carma-platform,2023-12-23,10,4
usdot-fhwa-stol,carma-torc-xgv-controller-driver,2023-12-23,1,1
usdot-fhwa-stol,carma-utils,2023-12-23,15,7
usdot-fhwa-stol,carma-velodyne-lidar-driver,2023-12-23,2,2
usdot-fhwa-stol,cdasim,2023-12-23,1,1
usdot-fhwa-stol,multiple_object_tracking,2023-12-23,8,7
usdot-fhwa-stol,ns-3_c-v2x,2023-12-23,1,1
usdot-fhwa-stol,ns3-federate,2023-12-23,2,2
usdot-fhwa-stol,voices-poc,2023-12-23,1,1
usdot-fhwa-stol,carma-carla-integration,2023-12-24,1,1
usdot-fhwa-stol,carma-cloud,2023-12-24,2,2
usdot-fhwa-stol,carma-messenger,2023-12-24,15,7
usdot-fhwa-stol,carma-msgs,2023-12-24,16,8
usdot-fhwa-stol,carma-platform,2023-12-24,18,6
usdot-fhwa-stol,carma-utils,2023-12-24,15,7
usdot-fhwa-stol,carma-velodyne-lidar-driver,2023-12-24,2,2
usdot-fhwa-stol,documentation,2023-12-24,3,3
usdot-fhwa-stol,multiple_object_tracking,2023-12-24,9,7
usdot-fhwa-stol,ns-3_c-v2x,2023-12-24,7,2
usdot-fhwa-stol,ns3-federate,2023-12-24,8,3
usdot-fhwa-stol,carma-carla-integration,2023-12-25,1,1
usdot-fhwa-stol,carma-cloud,2023-12-25,1,1
usdot-fhwa-stol,carma-config,2023-12-25,2,2
usdot-fhwa-stol,carma-geodetic-lib,2023-12-25,1,1
usdot-fhwa-stol,carma-msgs,2023-12-25,2,2
usdot-fhwa-stol,carma-ns3-adapter,2023-12-25,1,1
usdot-fhwa-stol,carma-platform,2023-12-25,1,1
usdot-fhwa-stol,carma-slamtec-lidar-driver,2023-12-25,3,3
usdot-fhwa-stol,carma-ssc-interface-wrapper,2023-12-25,1,1
usdot-fhwa-stol,carma-streets,2023-12-25,1,1
usdot-fhwa-stol,carma-utils,2023-12-25,1,1
usdot-fhwa-stol,cavams,2023-12-25,1,1
usdot-fhwa-stol,cdasim,2023-12-25,1,1
usdot-fhwa-stol,documentation,2023-12-25,2,1
usdot-fhwa-stol,multiple_object_tracking,2023-12-25,1,1
usdot-fhwa-stol,ns-3_c-v2x,2023-12-25,1,1
usdot-fhwa-stol,ns3-federate,2023-12-25,1,1
usdot-fhwa-stol,voices-poc,2023-12-25,1,1
usdot-fhwa-stol,c1t2x-emulator,2023-12-26,1,1
usdot-fhwa-stol,carma-carla-integration,2023-12-26,36,4
usdot-fhwa-stol,carma-cloud,2023-12-26,1,1
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-12-26,1,1
usdot-fhwa-stol,carma-geodetic-lib,2023-12-26,1,1
usdot-fhwa-stol,carma-messenger,2023-12-26,53,22
usdot-fhwa-stol,carma-msgs,2023-12-26,102,33
usdot-fhwa-stol,carma-platform,2023-12-26,68,7
usdot-fhwa-stol,carma-utils,2023-12-26,102,33
usdot-fhwa-stol,carma-web-ui,2023-12-26,1,1
usdot-fhwa-stol,cdasim,2023-12-26,3,1
usdot-fhwa-stol,documentation,2023-12-26,3,3
usdot-fhwa-stol,github_metrics,2023-12-26,1,1
usdot-fhwa-stol,multiple_object_tracking,2023-12-26,52,22
usdot-fhwa-stol,ns-3_c-v2x,2023-12-26,1,1
usdot-fhwa-stol,ns3-federate,2023-12-26,3,3
usdot-fhwa-stol,carma-base,2023-12-27,1,1
usdot-fhwa-stol,carma-cadillac-srx-2013-controller-driver,2023-12-27,2,1
usdot-fhwa-stol,carma-carla-integration,2023-12-27,2,1
usdot-fhwa-stol,carma-delphi-esr-driver,2023-12-27,1,1
usdot-fhwa-stol,carma-lightbar-driver,2023-12-27,2,1
usdot-fhwa-stol,carma-messenger,2023-12-27,107,20
usdot-fhwa-stol,carma-msgs,2023-12-27,57,20
usdot-fhwa-stol,carma-platform,2023-12-27,58,6
usdot-fhwa-stol,carma-streets,2023-12-27,15,5
usdot-fhwa-stol,carma-utils,2023-12-27,109,21
usdot-fhwa-stol,cdasim,2023-12-27,3,2
usdot-fhwa-stol,devops,2023-12-27,1,1
usdot-fhwa-stol,documentation,2023-12-27,6,3
usdot-fhwa-stol,multiple_object_tracking,2023-12-27,44,21
usdot-fhwa-stol,ns-3_c-v2x,2023-12-27,1,1
usdot-fhwa-stol,WxDE,2023-12-28,1,1
usdot-fhwa-stol,actions,2023-12-28,1,1
usdot-fhwa-stol,ads-traffic-regs,2023-12-28,1,1
usdot-fhwa-stol,c1t2x-emulator,2023-12-28,1,1
usdot-fhwa-stol,carma-1-tenth,2023-12-28,2,1
usdot-fhwa-stol,carma-base,2023-12-28,1,1
usdot-fhwa-stol,carma-carla-integration,2023-12-28,16,2
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-12-28,1,1
usdot-fhwa-stol,carma-config,2023-12-28,1,1
usdot-fhwa-stol,carma-delphi-esr-driver,2023-12-28,1,1
usdot-fhwa-stol,carma-delphi-srr2-driver,2023-12-28,1,1
usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2023-12-28,1,1
usdot-fhwa-stol,carma-lightbar-driver,2023-12-28,3,2
usdot-fhwa-stol,carma-messenger,2023-12-28,53,3
usdot-fhwa-stol,carma-msgs,2023-12-28,24,11
usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,2023-12-28,1,1
usdot-fhwa-stol,carma-platform,2023-12-28,7,3
usdot-fhwa-stol,carma-ssc-interface-wrapper,2023-12-28,1,1
usdot-fhwa-stol,carma-streets,2023-12-28,2,1
usdot-fhwa-stol,carma-torc-xgv-controller-driver,2023-12-28,2,1
usdot-fhwa-stol,carma-utils,2023-12-28,70,10
usdot-fhwa-stol,carma-vehicle-model-framework,2023-12-28,1,1
usdot-fhwa-stol,carma-velodyne-lidar-driver,2023-12-28,1,1
usdot-fhwa-stol,carma-web-ui,2023-12-28,1,1
usdot-fhwa-stol,cav-education,2023-12-28,3,2
usdot-fhwa-stol,cda-telematics,2023-12-28,25,6
usdot-fhwa-stol,cdasim,2023-12-28,6,1
usdot-fhwa-stol,ns-3_c-v2x,2023-12-28,4,3
usdot-fhwa-stol,ns3-federate,2023-12-28,3,2
usdot-fhwa-stol,CARMAConcept,2023-12-29,2,1
usdot-fhwa-stol,actions,2023-12-29,1,1
usdot-fhwa-stol,c1t-tools,2023-12-29,2,1
usdot-fhwa-stol,c1t_rplidar_driver,2023-12-29,2,1
usdot-fhwa-stol,c1t_zed_driver,2023-12-29,2,1
usdot-fhwa-stol,carma-analytics-fotda,2023-12-29,2,1
usdot-fhwa-stol,carma-builds,2023-12-29,2,1
usdot-fhwa-stol,carma-carla-integration,2023-12-29,4,2
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-12-29,12,2
usdot-fhwa-stol,carma-freightliner-2012-controller-driver,2023-12-29,2,1
usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2023-12-29,2,1
usdot-fhwa-stol,carma-messenger,2023-12-29,14,2
usdot-fhwa-stol,carma-mobileye-driver,2023-12-29,2,1
usdot-fhwa-stol,carma-msgs,2023-12-29,6,4
usdot-fhwa-stol,carma-ns3-adapter,2023-12-29,2,1
usdot-fhwa-stol,carma-platform,2023-12-29,3,2
usdot-fhwa-stol,carma-streets,2023-12-29,16,5
usdot-fhwa-stol,carma-time-lib,2023-12-29,2,1
usdot-fhwa-stol,carma-torc-pinpoint-driver,2023-12-29,4,2
usdot-fhwa-stol,carma-torc-xgv-controller-driver,2023-12-29,2,1
usdot-fhwa-stol,carma-utils,2023-12-29,5,3
usdot-fhwa-stol,carma-validation,2023-12-29,2,1
usdot-fhwa-stol,carma-vehicle-model-framework,2023-12-29,4,2
usdot-fhwa-stol,carma-velodyne-lidar-driver,2023-12-29,3,2
usdot-fhwa-stol,cda-telematics,2023-12-29,2,1
usdot-fhwa-stol,cdasim,2023-12-29,2,1
usdot-fhwa-stol,documentation,2023-12-29,5,4
usdot-fhwa-stol,multiple_object_tracking,2023-12-29,1,1
usdot-fhwa-stol,ns-3_c-v2x,2023-12-29,3,2
usdot-fhwa-stol,ns3-federate,2023-12-29,1,1
usdot-fhwa-stol,voices-common-interface,2023-12-29,2,1
usdot-fhwa-stol,voices-poc,2023-12-29,1,1
usdot-fhwa-stol,WxDE,2023-12-30,2,1
