Org,Repo,Date,Views count,Views unique
usdot-jpo-ode,TDx,2023-06-17,3,1
usdot-jpo-ode,jpo-security-svcs,2023-06-17,2,1
usdot-jpo-ode,asn1_codec,2023-06-18,2,1
usdot-jpo-ode,jpo-ode,2023-06-18,12,3
usdot-jpo-ode,wzdx,2023-06-18,3,3
usdot-jpo-ode,TDx,2023-06-19,1,1
usdot-jpo-ode,jpo-conflictmonitor,2023-06-19,20,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-06-19,3,1
usdot-jpo-ode,jpo-cvdp,2023-06-19,2,1
usdot-jpo-ode,jpo-ode,2023-06-19,17,5
usdot-jpo-ode,jpo-security,2023-06-19,1,1
usdot-jpo-ode,wzdx,2023-06-19,61,16
usdot-jpo-ode,TDx,2023-06-20,3,2
usdot-jpo-ode,jpo-conflictmonitor,2023-06-20,2,1
usdot-jpo-ode,jpo-cvdp,2023-06-20,71,3
usdot-jpo-ode,jpo-geojsonconverter,2023-06-20,37,2
usdot-jpo-ode,jpo-ode,2023-06-20,33,8
usdot-jpo-ode,jpo-s3-deposit,2023-06-20,22,2
usdot-jpo-ode,jpo-sdw-depositor,2023-06-20,52,2
usdot-jpo-ode,jpo-security-svcs,2023-06-20,29,2
usdot-jpo-ode,wzdx,2023-06-20,167,19
usdot-jpo-ode,TDx,2023-06-21,6,4
usdot-jpo-ode,asn1_codec,2023-06-21,69,1
usdot-jpo-ode,jpo-conflictmonitor,2023-06-21,8,1
usdot-jpo-ode,jpo-cvdp,2023-06-21,20,3
usdot-jpo-ode,jpo-geojsonconverter,2023-06-21,22,1
usdot-jpo-ode,jpo-ode,2023-06-21,68,9
usdot-jpo-ode,jpo-s3-deposit,2023-06-21,17,2
usdot-jpo-ode,jpo-sdw-depositor,2023-06-21,1,1
usdot-jpo-ode,jpo-security-svcs,2023-06-21,33,1
usdot-jpo-ode,ode-output-validator-library,2023-06-21,44,2
usdot-jpo-ode,scms-asn1,2023-06-21,2,1
usdot-jpo-ode,wzdx,2023-06-21,117,22
usdot-jpo-ode,TDx,2023-06-22,24,11
usdot-jpo-ode,asn1_codec,2023-06-22,9,2
usdot-jpo-ode,jpo-conflictmonitor,2023-06-22,48,4
usdot-jpo-ode,jpo-conflictvisualizer,2023-06-22,14,4
usdot-jpo-ode,jpo-cvdp,2023-06-22,19,3
usdot-jpo-ode,jpo-cvmanager,2023-06-22,1,1
usdot-jpo-ode,jpo-geojsonconverter,2023-06-22,27,5
usdot-jpo-ode,jpo-ode,2023-06-22,48,8
usdot-jpo-ode,jpo-s3-deposit,2023-06-22,48,4
usdot-jpo-ode,jpo-sdw-depositor,2023-06-22,7,2
usdot-jpo-ode,jpo-security-svcs,2023-06-22,17,2
usdot-jpo-ode,wzdx,2023-06-22,123,26
usdot-jpo-ode,TDx,2023-06-23,3,2
usdot-jpo-ode,asn1_codec,2023-06-23,95,4
usdot-jpo-ode,jpo-conflictmonitor,2023-06-23,30,5
usdot-jpo-ode,jpo-conflictvisualizer,2023-06-23,91,4
usdot-jpo-ode,jpo-cvdp,2023-06-23,34,6
usdot-jpo-ode,jpo-cvmanager,2023-06-23,45,3
usdot-jpo-ode,jpo-geojsonconverter,2023-06-23,54,6
usdot-jpo-ode,jpo-ode,2023-06-23,47,13
usdot-jpo-ode,jpo-s3-deposit,2023-06-23,2,1
usdot-jpo-ode,jpo-sdw-depositor,2023-06-23,5,2
