Start date,End date,Org,Repo,Path,Title,Count,Unique
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-App,/usdot-fhwa-OPS/ITS-Secure-Prototype-App,usdot-fhwa-OPS/ITS-Secure-Prototype-App,6,4
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-App,/usdot-fhwa-OPS/ITS-Secure-Prototype-App/commits/develop,Commits · usdot-fhwa-OPS/ITS-Secure-Prototype-App,2,1
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-App,/usdot-fhwa-OPS/ITS-Secure-Prototype-App/pulls,Pull requests · usdot-fhwa-OPS/ITS-Secure-Prototype-App,1,1
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,/usdot-fhwa-OPS/ITS-Secure-Prototype-Backend,usdot-fhwa-OPS/ITS-Secure-Prototype-Backend: Repository for AWS backend confi...,7,3
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,/usdot-fhwa-OPS/ITS-Secure-Prototype-Backend/blob/develop/poolFunctions/lambda_function.py,ITS-Secure-Prototype-Backend/poolFunctions/lambda_function.py at develop · us...,2,1
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,/usdot-fhwa-OPS/ITS-Secure-Prototype-Backend/commits/develop,Commits · usdot-fhwa-OPS/ITS-Secure-Prototype-Backend,2,1
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,/usdot-fhwa-OPS/ITS-Secure-Prototype-Backend/graphs/contributors,Contributors to usdot-fhwa-OPS/ITS-Secure-Prototype-Backend,2,1
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,/usdot-fhwa-OPS/ITS-Secure-Prototype-Backend/tree/develop/poolFunctions,ITS-Secure-Prototype-Backend/poolFunctions at develop · usdot-fhwa-OPS/ITS-Se...,2,1
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,/usdot-fhwa-OPS/ITS-Secure-Prototype-Backend/issues,Issues · usdot-fhwa-OPS/ITS-Secure-Prototype-Backend,1,1
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,/usdot-fhwa-OPS/ITS-Secure-Prototype-Backend/pulls,Pull requests · usdot-fhwa-OPS/ITS-Secure-Prototype-Backend,1,1
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,/usdot-fhwa-OPS/ITS-Secure-Prototype-Backend/pulse,Pulse · usdot-fhwa-OPS/ITS-Secure-Prototype-Backend,1,1
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,/usdot-fhwa-OPS/ITS-Secure-Prototype-Frontend,usdot-fhwa-OPS/ITS-Secure-Prototype-Frontend: Frontend code for Cybersecurity...,4,2
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,/usdot-fhwa-OPS/ITS-Secure-Prototype-Frontend/tree/develop/src,ITS-Secure-Prototype-Frontend/src at develop · usdot-fhwa-OPS/ITS-Secure-Prot...,4,2
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,/usdot-fhwa-OPS/ITS-Secure-Prototype-Frontend/blob/develop/src/api/DeviceApi.js,ITS-Secure-Prototype-Frontend/src/api/DeviceApi.js at develop · usdot-fhwa-OP...,2,1
